perfil,rede,id_video,usuario,data,hora,texto,midia,num_caracteres,num_palavras,num_emojis,num_mencoes,likes,repostagens,comentarios,prob_positivo,prob_neutro,prob_negativo,sentimento_geral
GayerGus,instagram,2,robertateofilomonzini,2026-01-04,14:00:41,Grande dia !,0,12,3,0,0,3,,0.0,0.9433558583259584,0.0485024861991405,0.0081416554749012,positivo
GayerGus,instagram,2,marciaspeziaoficial,2026-01-04,13:37:19,Cena linda 🙌🙌🙌🙌🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸,0,25,3,9,0,4,,0.0,0.9882078766822816,0.0092362975701689,0.0025558734778314,positivo
GayerGus,instagram,2,micheleandres_mentoria_,2026-01-04,07:42:02,Grande dia! Ainda há esperança 🙏 Obrigada Jesus,0,47,8,1,0,5,,0.0,0.9758679866790771,0.0216197911649942,0.0025122759398072,positivo
GayerGus,instagram,2,ronaldoamorimadm,2026-01-04,14:35:10,Este ano começou extraordinário 👏🏼🙏🏼 MaisMaduro 😂,0,49,7,3,0,15,,0.0,0.9895558953285216,0.0081539386883378,0.0022901087068021,positivo
GayerGus,instagram,2,carlacoliveir,2026-01-04,02:43:28,Melhor visão da vida!!,0,22,4,0,0,1,,0.0,0.9887568354606628,0.0091102877631783,0.0021328476723283,positivo
GayerGus,instagram,2,tininhanovaesdesouza,2026-01-04,11:53:42,Trump 👏👏👏👏🇺🇸🙌🇧🇷,0,15,2,7,0,1,,0.0,0.522890031337738,0.4379356503486633,0.0391742587089538,positivo
GayerGus,instagram,2,silvajamil,2026-01-04,15:56:11,Que cena linda 👏👏👏👏🇺🇸🙌🙌🙌🙌🙌🙌,0,27,4,11,0,2,,0.0,0.989546835422516,0.007981545291841,0.0024716879706829,positivo
GayerGus,instagram,2,douglasgdcorrea7,2026-01-08,21:22:50,👏👏👏👏🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🙏🙏🙏🙏🙏🙏,0,20,1,15,0,1,,0.0,0.7336478233337402,0.2321032881736755,0.0342488177120685,positivo
GayerGus,instagram,2,wanderson.toshiak,2026-01-04,02:30:59,"Quem concorda, que não a mal que dure para sempre 👉🏻",0,52,11,1,0,2207,,22.0,0.1337460726499557,0.8331257104873657,0.0331281535327434,neutro
GayerGus,instagram,2,adilia_ana,2026-01-04,02:56:19,MELHOR VÍDEO DE TODOS OS TEMPOS 👏👏👏,0,35,7,3,0,339,,22.0,0.9850473403930664,0.0103608090430498,0.004591817036271,positivo
GayerGus,instagram,2,adrianaferreiradebastos,2026-01-05,00:34:20,Maravilha para nossos olhos..A justiça sendo feita..Não há mal que dure para sempre!!,0,85,13,0,0,1,,0.0,0.983690083026886,0.0137176532298326,0.0025922846980392,positivo
GayerGus,instagram,2,simonelgalvani,2026-01-04,02:41:41,"Imagem de milhões, grande dia 🙌🏻",0,32,6,1,0,676,,0.0,0.8813287019729614,0.1074637919664383,0.0112074762582778,positivo
GayerGus,instagram,2,ryssa_la,2026-01-04,02:55:03,,0,0,0,0,0,20,,3.0,0.0,1.0,0.0,neutro
GayerGus,instagram,2,paulolopes064,2026-01-04,02:27:47,"Agora é só questão de tempo, Delações 🔥👏",0,40,8,2,0,1106,,13.0,0.3023644983768463,0.6623924374580383,0.0352430641651153,neutro
GayerGus,instagram,2,dev_rodolfo,2026-01-04,02:25:02,Glória a Jesus! Falta Lula e seu governo do inferno!,0,52,10,0,0,2515,,16.0,0.5650385022163391,0.3060243129730224,0.1289371699094772,positivo
GayerGus,instagram,2,daniela.lbezerra,2026-01-04,02:42:59,Viva a liberdade do povo venezuelano 🙌,0,38,7,1,0,487,,0.0,0.8666883707046509,0.1267749965190887,0.0065366588532924,positivo
GayerGus,instagram,2,karencristianeluz,2026-01-04,04:46:31,Glória a Deus 🙏 logo estaremos livres tb das trevas do Brasil 🙏🙌,0,64,13,3,0,100,,0.0,0.7251577973365784,0.1753126382827758,0.0995295643806457,positivo
GayerGus,instagram,2,rodrigoscarpa,2026-01-04,02:48:27,Sinto o mesmo por aqui 👏👏👏,0,26,6,3,0,133,,1.0,0.7878537178039551,0.1842760741710662,0.0278702396899461,positivo
GayerGus,instagram,2,jordanasousaferreira,2026-01-04,02:26:54,A Justiça de Deus não falha! Em 2026 viveremos a liberdade.,0,59,11,0,0,570,,14.0,0.4069959223270416,0.5655441880226135,0.0274598766118288,neutro
GayerGus,instagram,2,anapaulaferreira6576,2026-01-04,02:32:36,Esse Homem não tem pena de ninguém 🙌 graças a Deus foi capturarado,0,66,13,1,0,1364,,10.0,0.6103377938270569,0.2362060546875,0.1534562408924102,positivo
GayerGus,instagram,2,daniela.lbezerra,2026-01-04,02:43:54,Que venham as delacões 😂😂😂,0,26,5,3,0,105,,1.0,0.8074498176574707,0.160613551735878,0.0319366529583931,positivo
GayerGus,instagram,2,kerle_santana,2026-01-04,02:25:24,Tem umas pessoas que quero ver assim🙌🙌🙌 Deus Salve o Brasil!!!,0,62,11,3,0,322,,10.0,0.645732045173645,0.307521253824234,0.0467467494308948,positivo
GayerGus,instagram,2,drfranciscoanibal,2026-01-04,10:53:46,Janja que se cuide...esposa do Maduro foi junto,0,47,8,0,0,3,,1.0,0.0921109914779663,0.6973960399627686,0.2104929834604263,neutro
