frase,frequencia
eduardo bolsonaro,43
deus abençoe,38
força eduardo,16
família bolsonaro,14
deus contigo,11
deus proteja,10
povo brasileiro,9
jesus cristo,9
alexandre moraes,8
vc eduardo,7
vai dar,7
flávio bolsonaro,7
quer trabalhar,6
cima eduardo,6
parabéns eduardo,6
tamos juntos,6
vai chegar,6
toda família,6
força bolsonarosp,5
quer receber,5
vc vai,5
abençoe sempre,5
volta brasil,5
bolsonaro presidente,5
vai trabalhar,5
juntos eduardo,5
acima tudo,5
deus maior,5
conta vai,5
deus comando,5
vc família,5
justiça deus,5
vai vencer,5
firme deus,5
quer continuar,4
continuar recebendo,4
receber trabalhar,4
dinheiro público,4
trabalhar né,4
eduardo vc,4
brasil vai,4
vai voltar,4
força guerreiro,4
nome jesus,4
vai acabar,4
fica aí,4
vamos vencer,4
perseguição contra,4
brasileiros bem,4
brasil acima,4
