palavra,frequencia
deus,151
eduardo,108
bolsonaro,101
brasil,89
força,49
trabalhar,48
família,43
abençoe,41
povo,31
pai,31
presidente,26
perseguição,24
bem,23
juntos,23
brasileiro,19
país,18
parabéns,18
firme,18
contigo,18
cargo,17
trabalho,17
lula,17
ninguém,17
flávio,17
jesus,17
justiça,16
preso,16
proteja,15
moraes,15
guerreiro,15
alexandre,14
amém,14
senhor,14
bolsonarosp,13
cima,13
contra,13
trump,12
luta,12
deputado,12
conta,12
venceremos,12
vencer,12
certo,11
trabalha,11
brasileiros,11
livre,11
direita,11
cadeia,11
dinheiro,10
homem,10
breve,10
stf,10
cristo,10
amigo,9
vergonha,9
urgente,9
prender,9
nome,9
acima,9
desses,9
receber,8
irmão,8
público,8
acabou,8
terra,8
eua,8
absurdo,8
mal,8
vida,8
bandidos,8
fique,8
liberdade,7
chegou,7
ditadura,7
ditador,7
prisão,7
polícia,7
certeza,7
mãos,7
ditadores,7
maior,7
verdade,7
esquerda,7
maduro,7
direito,6
ajudar,6
vitória,6
falta,6
falando,6
retorne,6
servidor,6
dois,6
deveria,6
crimes,6
jair,6
perdeu,6
vou,6
muita,6
política,6
forte,6
vagabundos,6
tamos,6
acabar,6
comando,6
junto,6
lutando,6
rapaz,5
recebendo,5
ganhar,5
partido,5
honra,5
mamata,5
caso,5
continue,5
venezuela,5
corrupção,5
federal,5
lutar,5
segue,5
melhor,5
bandido,5
lixo,5
capitão,5
controle,5
xandão,5
covarde,5
acontecendo,5
coisas,5
canalhas,5
licença,5
bíblia,5
paz,5
manter,4
fizeram,4
fim,4
perseguido,4
cadê,4
congresso,4
democracia,4
igual,4
salvador,4
pátria,4
patriotas,4
sair,4
inimigos,4
realidade,4
acaba,4
boa,4
lei,4
desista,4
traidor,4
merda,4
lute,4
parar,4
ovo,4
chegará,4
doido,4
banana,4
maldito,4
toga,4
sujo,4
chega,4
governo,4
infelizmente,4
cabeça,4
nesse,4
sistema,4
volte,4
psicopata,4
realdonaldtrump,4
injustiça,4
alma,4
acredito,4
lado,4
siga,4
absurdos,3
param,3
fortaleça,3
toma,3
possível,3
bebê,3
tirar,3
aguenta,3
vivendo,3
oração,3
cuidar,3
diante,3
querendo,3
cidadão,3
sujeito,3
familia,3
favor,3
exonerado,3
defender,3
direitos,3
limites,3
coragem,3
história,3
vermes,3
garra,3
bom,3
traficantes,3
messias,3
matar,3
escrivão,3
vive,3
assumir,3
cela,3
internet,3
nenhum,3
perder,3
céu,3
perdido,3
pena,3
vencemos,3
deportado,3
anistia,3
pior,3
gosta,3
corruptos,3
olhos,3
hugo,3
manda,3
pessoa,3
voltando,3
poucos,3
viver,3
deputados,3
irá,3
mudar,3
claro,3
muitos,3
doente,3
orgulho,3
pessoas,3
salário,3
the,3
and,3
criminosos,3
fake,3
trabalhadores,3
misericórdia,3
crime,3
principalmente,3
certa,3
deixando,3
casa,3
tamo,3
banco,3
orando,3
usa,3
verdadeiro,3
entendeu,3
cair,3
votar,3
querido,3
tarda,3
estados,3
unidos,3
sangue,3
chama,3
mim,3
pecado,3
exércitos,3
bolsonaroemcasa,3
michele,3
papuda,3
socorro,3
quadrilha,3
nacional,3
fortes,3
avante,3
retornar,3
feliz,3
pix,3
ganhando,3
mecânica,3
quântica,3
última,3
hcheliocouto,3
caminhodaspalestras,3
concordo,3
futuro,3
sagrada,3
trabalhando,2
kkkkkkkkk,2
chorão,2
fico,2
surpresa,2
exterior,2
financiado,2
estado,2
deixa,2
dará,2
poupe,2
lascando,2
sobreviver,2
disney,2
come,2
engraçado,2
serio,2
tadinho,2
pisar,2
função,2
escolheu,2
politica,2
folgado,2
pensou,2
desde,2
qdo,2
meses,2
eleito,2
tiranos,2
nepal,2
cabra,2
macho,2
queremos,2
dino,2
gilmar,2
terroristas,2
presos,2
tortura,2
janeiro,2
esperando,2
própria,2
saída,2
tijolo,2
político,2
atacando,2
chegando,2
consegue,2
final,2
prisioneiro,2
discurso,2
errado,2
acontecer,2
noite,2
venha,2
nenhuma,2
fugiu,2
roubou,2
página,2
concursado,2
emprego,2
pcd,2
bolsonaros,2
trabalhador,2
verdadeira,2
abandona,2
serviço,2
tratamento,2
especial,2
parceiro,2
apoio,2
fácil,2
medo,2
libertar,2
golpistas,2
vejo,2
exemplo,2
correndo,2
atrás,2
tentando,2
ficando,2
caminho,2
espera,2
ratos,2
covardes,2
motta,2
roda,2
otario,2
desistir,2
virará,2
luladrão,2
tendo,2
nois,2
flavio,2
mamador,2
gratidão,2
daqui,2
certíssimo,2
votamos,2
sai,2
senadores,2
desculpa,2
deveriam,2
pedra,2
república,2
fiel,2
vingança,2
sádico,2
constituição,2
luladrao,2
combater,2
against,2
media,2
globo,2
brazil,2
magnitsky,2
apoiam,2
segurança,2
pública,2
sofre,2
protegendo,2
aposentados,2
frente,2
estudar,2
chamar,2
cada,2
pagar,2
triste,2
mídia,2
recebe,2
expresidente,2
realmente,2
situação,2
voltará,2
homens,2
porco,2
mito,2
ordem,2
destruir,2
jeito,2
toba,2
assassino,2
flaviobolsonaropresidente,2
injustiças,2
pega,2
cuidado,2
resta,2
hambúrguer,2
padrão,2
tse,2
aproveita,2
ruas,2
gritando,2
estará,2
cheios,2
poderoso,2
malditos,2
crueldade,2
neste,2
amam,2
pedir,2
perseguidores,2
entrar,2
dentro,2
corre,2
fugindo,2
livres,2
guerra,2
carne,2
filho,2
santo,2
ouvirei,2
céus,2
palavras,2
praça,2
devemos,2
josé,2
profeta,2
apóstolo,2
ganha,2
batalha,2
lembra,2
parte,2
mestre,2
presente,2
novamente,2
cagão,2
prendam,2
vindo,2
mantenha,2
master,2
presidência,2
super,2
pegar,2
entende,2
impune,2
corja,2
petralhas,2
dignidade,2
ora,2
justo,2
senado,2
alguém,2
ladrões,2
lugar,2
glória,2
herói,2
imbecis,2
normalidade,2
liderança,2
verme,2
continua,2
conosco,2
mão,2
concurso,2
vence,2
humano,2
armadilha,2
espero,2
neem,2
idiotas,2
organizações,2
criminosas,2
bandidagem,2
obrigada,2
nação,2
procura,2
enganar,2
plenamente,2
comunismo,2
patria,2
amada,2
fará,2
perto,2
falha,2
bolsonarolivre,2
preocupados,2
visitar,2
existe,2
convocado,2
inferno,2
tormentos,2
eternos,2
porta,2
inclusive,2
oculto,2
help,2
fdp,2
públicos,2
ridículo,2
comparecer,1
nárnia,1
visto,1
começou,1
inadmissível,1
irmãopelo,1
amordideus,1
traga,1
imaginando,1
pele,1
nova,1
continuemos,1
dguinidade,1
intocável,1
deixara,1
faltar,1
calar,1
trevas,1
dtas,1
vagbundagem,1
tempos,1
coitadinho,1
parou,1
reclamando,1
séria,1
pera,1
auto,1
exila,1
impressionado,1
golpe,1
distorcem,1
bizarro,1
kkkkkkkkkkkkk,1
continuarão,1
pano,1
bonito,1
salario,1
graça,1
prejudicálo,1
mandaram,1
barra,1
medinho,1
companhia,1
papos,1
oxi,1
pedindo,1
apresente,1
exercer,1
acontece,1
queridinho,1
linhagem,1
bolsonaristas,1
perfect,1
procurar,1
irmã,1
piore,1
cria,1
näo,1
garantido,1
agradeceu,1
petista,1
poderia,1
levar,1
casais,1
habitam,1
inutil,1
hipócrita,1
fujão,1
escória,1
familicia,1
gostou,1
impossível,1
ficarmos,1
calado,1
acéfalos,1
credooooo,1
anticristo,1
falte,1
tantos,1
seguidos,1
diferente,1
praticados,1
comporta,1
amparado,1
lulopetismo,1
ultrapassaram,1
resistência,1
defesa,1
absolve,1
curva,1
solução,1
argentina,1
bolívia,1
paraguai,1
equador,1
chile,1
loading,1
avanteeeee,1
impeachment,1
morais,1
carmem,1
lucia,1
edson,1
fachin,1
mendes,1
dias,1
toffoli,1
fernando,1
haddad,1
guilherme,1
boulos,1
ricardo,1
levandovsk,1
ladrão,1
integrantes,1
julgados,1
condenados,1
lesa,1
ativa,1
passiva,1
difamação,1
calúnia,1
peculato,1
prevaricação,1
acorda,1
isaías,1
temas,1
assombres,1
fortaleço,1
ajudo,1
sustento,1
destra,1
eduardopede,1
resgatar,1
paieles,1
jequié,1
bahia,1
esqueceu,1
delegado,1
pow,1
curiosa,1
grades,1
passaporte,1
mandato,1
imunidade,1
criada,1
construída,1
mostrar,1
face,1
imaginava,1
determinou,1
voltasse,1
escolha,1
decisão,1
administrativa,1
apostou,1
narrativa,1
fuga,1
salvadora,1
dizia,1
virou,1
perseguidor,1
passou,1
conspirar,1
negociando,1
sansões,1
punições,1
econômicas,1
ataque,1
instituições,1
próprio,1
achou,1
colar,1
colou,1
cerco,1
fechado,1
documentado,1
msgs,1
reuniões,1
postagens,1
declarações,1
redes,1
sociais,1
imprensa,1
quis,1
filtro,1
prudência,1
comum,1
encurralado,1
agir,1
gritava,1
atravessar,1
fronteira,1
contas,1
arrogância,1
salve,1
acordar,1
custo,1
amigos,1
conselho,1
dica,1
faça,1
off,1
vorcaro,1
bilhões,1
solto,1
vergonhoso,1
short,1
dick,1
needs,1
his,1
real,1
gun,1
felicidade,1
seguidor,1
ufaaaa,1
entender,1
aposentado,1
cristalzinho,1
oriente,1
cai,1
confiscando,1
aceitam,1
elesfalta,1
demissão,1
brasilpra,1
prevaleça,1
protegido,1
verdadeestamos,1
solidariedade,1
querida,1
sabemos,1
pistolapra,1
meter,1
kkkkkkkkkk,1
fudido,1
pilantra,1
anarquistas,1
fascistas,1
nazistas,1
sabotadores,1
apoiadores,1
presidiário,1
malandro,1
perigoso,1
cumpri,1
cometidos,1
bolsominions,1
ridícula,1
problematem,1
tratar,1
psiquiatra,1
ditoisso,1
releito,1
algemado,1
caba,1
reto,1
devaneio,1
pros,1
golpista,1
tas,1
conversando,1
instituição,1
pagando,1
estao,1
penso,1
vota,1
trem,1
reconhecimento,1
demore,1
atrasado,1
grita,1
totalmente,1
esquecido,1
digno,1
lógico,1
trabalhou,1
findando,1
vera,1
miseráveis,1
arrancados,1
foge,1
pura,1
extrema,1
mds,1
traíra,1
girando,1
cansativo,1
menino,1
saquete,1
chupa,1
bosta,1
fuder,1
numca,1
propósito,1
resultados,1
patriota,1
feixado,1
trassoeiros,1
mostra,1
vários,1
papai,1
inversões,1
valores,1
morada,1
conseguir,1
militar,1
expôr,1
opinião,1
roubaram,1
resto,1
covardia,1
daí,1
covardi,1
papinho,1
câmara,1
fazem,1
resolvesse,1
sinceridade,1
fracos,1
sujado,1
próprias,1
honrar,1
bolsonarotu,1
recuado,1
parado,1
porém,1
monstro,1
sufocar,1
parasita,1
juntamente,1
alcolumbre,1
revindicar,1
esperar,1
eleições,1
aconteceu,1
podemos,1
máximo,1
compartilhar,1
quiser,1
jurídicos,1
odiando,1
politicos,1
safados,1
nojo,1
senhora,1
aparecida,1
estenda,1
manto,1
sagrado,1
morães,1
comparsas,1
ultrapassou,1
possíveis,1
abuso,1
cometido,1
obrigado,1
merecem,1
vêm,1
torturando,1
moraesnacadeia,1
limpeza,1
impunidade,1
maldade,1
narcoditador,1
zombando,1
cagando,1
oremos,1
descondenado,1
lulaoficial,1
desgraçado,1
conformo,1
feita,1
existir,1
dormem,1
cortar,1
urge,1
united,1
states,1
consider,1
sanctions,1
groups,1
such,1
cnn,1
whose,1
repeated,1
dissemination,1
misleading,1
information,1
undermines,1
democratic,1
values,1
public,1
trust,1
applying,1
act,1
this,1
context,1
would,1
send,1
strong,1
message,1
manipulation,1
psol,1
violência,1
seguem,1
polícias,1
espalhando,1
news,1
lava,1
jato,1
esquecer,1
fraudes,1
respiradores,1
ignorar,1
descontos,1
ilegais,1
desrespeito,1
manipulação,1
respeito,1
foramoraes,1
foralula,1
forastf,1
grevegeral,1
policiacivil,1
pmerj,1
bope,1
bolssonario,1
filhinho,1
confiar,1
tms,1
monte,1
asneira,1
mimado,1
noção,1
administrativo,1
derruba,1
recifebrasil,1
acordapovobrasileiro,1
brasillivre,1
esquerdopatas,1
demorando,1
corajoso,1
recompensará,1
risco,1
demais,1
chantageados,1
mexe,1
ordena,1
organizado,1
esquema,1
passasse,1
desenformada,1
troca,1
peças,1
dominó,1
caí,1
caem,1
financeira,1
complicada,1
sofrer,1
territorio,1
buscar,1
emnome,1
saudeao,1
ouvidos,1
canalha,1
saco,1
roxo,1
nojento,1
estaria,1
momento,1
retardado,1
intelectual,1
progresso,1
clt,1
bora,1
fio,1
escolhe,1
capachos,1
rei,1
flaviobolsonaro,1
michellebolsonaroofcl,1
bolsonarojairpr,1
nikolascensurado,1
ninguem,1
importa,1
debaixo,1
sol,1
aguarde,1
quadro,1
grandemente,1
prendelo,1
cuide,1
relutar,1
armário,1
descontrolada,1
passivos,1
torturador,1
please,1
after,1
judge,1
dictator,1
ajuda,1
desgispero,1
tirania,1
fascista,1
asqueroso,1
irão,1
linenca,1
vencimento,1
ditdr,1
palhacinho,1
kirk,1
tupiniquim,1
aplica,1
somente,1
famíliaquadrilha,1
peça,1
tip,1
desumano,1
idoso,1
recorrer,1
máster,1
corinthians,1
animais,1
roubando,1
petistas,1
saudades,1
cheiro,1
podre,1
neh,1
vgbundo,1
bemlute,1
posse,1
arma,1
precisão,1
valor,1
vende,1
objetivo,1
corajosos,1
verdadeiros,1
hipócritas,1
falecer,1
depender,1
bandeirinha,1
pessímas,1
soubessem,1
parece,1
venceresses,1
malfeitores,1
ódio,1
honesto,1
honrado,1
inveja,1
olhando,1
firmeza,1
tomos,1
júnior,1
morre,1
desgraça,1
arrocha,1
moleza,1
investigando,1
processando,1
brasilhuhuuuuvolte,1
ótimo,1
agentede,1
solta,1
tanks,1
mete,1
foda,1
narcotráfico,1
diabólico,1
preocupa,1
lokoperdendo,1
mamatavai,1
trabalharengana,1
piada,1
lixoi,1
cavalos,1
cavaleiros,1
certinho,1
agindo,1
impedirá,1
caíra,1
vejamos,1
explodir,1
urnas,1
sacrifício,1
prejudicar,1
mimimi,1
catar,1
coquinho,1
terapia,1
ovofdp,1
forças,1
armadas,1
brasileira,1
frouxos,1
ama,1
misericórdiaias,1
satanistas,1
uns,1
seres,1
kkkkkkkkkkkkkkkkkkkkkkkkkk,1
justiçaaaaaaaaaa,1
motorista,1
aplicativo,1
esquerdista,1
carro,1
mijar,1
rápido,1
darei,1
risada,1
articulações,1
aclamem,1
único,1
líder,1
eee,1
oster,1
maligna,1
ceus,1
espírito,1
protestades,1
crônicas,1
humilhar,1
madrugada,1
busca,1
coração,1
almar,1
sararei,1
perdoarei,1
vosos,1
sarei,1
fiéis,1
mostrando,1
mundo,1
entra,1
quarto,1
clama,1
daniel,1
orou,1
egito,1
elias,1
elizeu,1
pastores,1
vontade,1
livro,1
romanos,1
autoridades,1
escolhidas,1
provérbios,1
cap,1
guarda,1
boca,1
conserva,1
abre,1
perturbação,1
madrugadas,1
igreja,1
silêncio,1
zuada,1
barulho,1
gideão,1
ganhou,1
liberada,1
pastor,1
juscelino,1
santos,1
celular,1
ungir,1
olho,1
curado,1
macumba,1
feitiçaria,1
mata,1
destruí,1
orar,1
orienta,1
tamosjuntos,1
vixi,1
senta,1
podri,1
supremo,1
tetorna,1
demoro,1
nível,1
comentários,1
menor,1
chance,1
bostonaro,1
mané,1
fraco,1
maravilha,1
noticia,1
psicoatas,1
inelegível,1
educado,1
soberanos,1
venser,1
socorrooooo,1
engolir,1
fláviomas,1
bombardear,1
precisamente,1
brasília,1
mama,1
reta,1
presta,1
conhecem,1
determinação,1
papel,1
interlocutor,1
escândalo,1
tofeli,1
impugnados,1
expurgados,1
washington,1
presenciou,1
criminoso,1
sofram,1
consequências,1
corte,1
pudor,1
continuo,1
humanos,1
fraquejemseu,1
torturado,1
cia,1
ltda,1
fod,1
reeleger,1
escrito,1
cuida,1
elegeram,1
elege,1
privilégios,1
parlamentares,1
golpes,1
resposta,1
preparando,1
bbc,1
gado,1
delirante,1
aguardando,1
delação,1
premiada,1
forma,1
liberados,1
surreal,1
guardado,1
serve,1
leis,1
decide,1
votei,1
escolhido,1
sugere,1
sustentado,1
tal,1
começarão,1
trilhos,1
começar,1
comanda,1
modo,1
mandar,1
definitivo,1
deixaremos,1
soberano,1
sofrimento,1
venezuelano,1
interesse,1
colheita,1
fugio,1
muitas,1
sido,1
injustas,1
ampara,1
determinado,1
período,1
entretanto,1
desempenhando,1
funções,1
correspondem,1
desempenhar,1
mantido,1
possa,1
regressar,1
lesando,1
honorário,1
posso,1
errada,1
permanente,1
méxico,1
precisei,1
pedi,1
cobrei,1
centavo,1
questão,1
poxa,1
chato,1
posto,1
sorte,1
dirá,1
farão,1
contribuinte,1
palavra,1
achando,1
fritar,1
apertar,1
estaremos,1
jamais,1
render,1
marginal,1
mesma,1
libertem,1
reféns,1
cheio,1
corrupçã,1
desordem,1
maís,1
alturas,1
amado,1
celestialaleluia,1
aleluia,1
internacional,1
licenciado,1
caçado,1
perciguicao,1
judiciário,1
desorientados,1
malandragem,1
advogados,1
larápios,1
celestial,1
dura,1
assaltantes,1
assaltante,1
compensa,1
abençoada,1
vivemos,1
prende,1
confio,1
vós,1
sobreviverão,1
aguardemos,1
saúde,1
luz,1
eterno,1
soberania,1
existisse,1
proteção,1
comete,1
abra,1
direto,1
estás,1
corretíssimo,1
atitudes,1
encoberto,1
mau,1
responsáveis,1
varrer,1
américa,1
latina,1
pequena,1
lutador,1
consiga,1
vcnão,1
recuperálos,1
receberá,1
polpuda,1
indenização,1
comédia,1
ventriloco,1
dep,1
glockada,1
gosto,1
amo,1
merece,1
juros,1
correções,1
monetária,1
nesses,1
jovem,1
age,1
buzeira_oficial,1
perdeutomaram,1
foraaaaa,1
resolva,1
livrou,1
ameaças,1
chinelagem,1
trap,1
louco,1
nazista,1
ficará,1
deusabencoeeprotejaafamiliabolsonaro,1
retorna,1
art,1
sal,1
prov,1
bolsorei,1
acordo,1
escrituras,1
sagradas,1
cidadãos,1
famílias,1
abençoadas,1
joão,1
amaldiçoado,1
marginais,1
analfabetos,1
cachoeiros,1
drogados,1
inúteis,1
partidárias,1
esquerdistas,1
religiosas,1
bestao,1
canto,1
cantar,1
trecho,1
bela,1
canção,1
morreu,1
atrapalhando,1
tráfego,1
mamar,1
teta,1
produzir,1
arapulca,1
guerreirodeus,1
prevalecer,1
enfrentando,1
contigocom,1
bolsonaronós,1
vocêsforçafé,1
esperança,1
guerreiroao,1
invés,1
estarem,1
trabalhandosalário,1
pagos,1
melhorsó,1
ficam,1
famíliao,1
guardadoestá,1
aconteceré,1
amor,1
tiro,1
pésó,1
base,1
quero,1
comemorar,1
revoltante,1
mentiroso,1
ecom,1
tigo,1
mande,1
exército,1
firma,1
rir,1
rindo,1
abusam,1
assiste,1
apoia,1
cumpanheiros,1
eduardoem,1
escolta,1
tais,1
lascado,1
terrível,1
tranquilo,1
malucosss,1
chamou,1
mandam,1
internar,1
malucoooooooo,1
colocar,1
comunistas,1
tantas,1
provas,1
contribui,1
jaguara,1
blasfemando,1
concorrer,1
capacidade,1
crêa,1
trumpdo,1
trégua,1
falador,1
exdeputado,1
collor,1
domiciliar,1
foj,1
condenado,1
cargos,1
trabalhodeste,1
elemento,1
passa,1
entreguista,1
cumpre,1
mota,1
casado,1
jogar,1
senador,1
quize,1
vamo,1
valentão,1
precisamos,1
visita,1
voltenão,1
voltequando,1
voltarmos,1
normalidadevocê,1
capaz,1
voltenós,1
engana,1
trouxa,1
presidiario,1
calma,1
preciso,1
transfiro,1
título,1
paulista,1
arrasou,1
vau,1
paciência,1
paíspois,1
pare,1
tormento,1
decidi,1
aliás,1
irei,1
prejudicou,1
impeachmentmoares,1
impeachmentgilmarmendes,1
impeachmentlula,1
impeachmentcarmenlucia,1
foramotta,1
foraalcolumbre,1
impeachmentdiastoffoli,1
