hashtag,frequencia
#Bolsonaroemcasa,3
#BOLSONAROlivre,2
#liberdade,1
#MoraesNaCadeia,1
#ForaMoraes,1
#ForaLula,1
#ForaSTF,1
#Bolsonaro2026,1
#GreveGeral,1
#PoliciaCivil,1
#PMERJ,1
#BOPE,1
#AcordaPovoBrasileiro,1
#BrasilLivre,1
#FLAVIOBOLSONAROPRESIDENTE,1
#FlavioBolsonaroPresidente2026.,1
#bolsonaro2026,1
#DeusAbencoeEProtejaAFamiliaBolsonaro,1
#impeachmentmoares,1
#impeachmentgilmarmendes,1
#impeachmentLula,1
#impeachmentcarmenlucia,1
#foramotta,1
#foraalcolumbre,1
#impeachmentDiasToffoli,1
#somostodosBOLSONARO,1
#impeachmentDino,1
#libertemBOLSONARO,1
#ANISTIAJA,1
#globoLIXO,1
#SBTlixo,1
#Mossad,1
