frase,frequencia
bolsonarosp policiafederal,795
policiafederal vai,67
vai trabalhar,64
trabalhar vagabundo,49
marioadolfo bolsonarosp,26
policiafederal vagabundo,25
policiafederal vc,23
clarke_de_souza bolsonarosp,17
vladimiralves bolsonarosp,14
eduardo bolsonaro,14
delaurentiis_br bolsonarosp,13
quer trabalhar,13
policiafederal força,12
policiafederal tá,12
ter trabalhar,11
policiafederal parabéns,11
policiafederal abdicou,10
policiafederal honra,10
omardeideais bolsonarosp,10
policiafederal quer,10
policiafederal cara,9
dinheiro público,9
policiafederal volta,8
voltar trabalho,8
souflamengo8119 delaurentiis_br,7
policiafederal povo,7
policiafederal trabalhar,7
deus abençoe,7
voltar trabalhar,7
quer continuar,7
policiafederal tudo,7
patitricolor marioadolfo,7
policiafederal eduardo,6
gosta trabalhar,6
povo brasileiro,6
policiafederal pode,6
josjac5 bolsonarosp,6
família bolsonaro,6
traidor pátria,6
parabéns eduardo,6
galizaar bolsonarosp,6
vá trabalhar,6
força eduardo,6
trabalhar quer,6
policiafederal falou,6
vagabundo vai,5
ricardosagulo bolsonarosp,5
vai ter,5
perdeu mandato,5
vai chegar,5
