data,texto,likes,comentarios,sentimento_geral,tipo
2026-01-03,"@BolsonaroSP @policiafederal Fala comigo, He-men, tu não gosta mesmo de trabalhar, né?",408,,neutro,TOP 5
2026-01-03,"@BolsonaroSP @policiafederal Eduardo B. sugere perseguição mas existem as seguintes leis: Art. 138 da Lei 8.112/90 - Abandono de cargo Art. 139 da Lei 8.112/90 - Inassiduidade habitual Ambas se aplicam aos servidores públicos federais ocupantes de cargo efetivo, ou seja, aprovados em concurso público.",120,,neutro,TOP 5
2026-01-03,@BolsonaroSP @policiafederal Ficar ao lado do Mickey ele chama de honra 🤣🤣🤣🤣🤣🤣🤣,53,,positivo,TOP 5
2026-01-03,@BolsonaroSP @policiafederal Perdeu mané! Nem O Trump quis você por perto.,18,,negativo,TOP 5
2026-01-03,@BolsonaroSP @policiafederal Vai trabalhar vagabundo,15,,negativo,TOP 5
2026-01-23,@BolsonaroSP @MelMatos01 @policiafederal https://t.co/OdfldfJ33Y,0,,neutro,BOTTOM 5
2026-01-21,@NassarCarmelena @inezmedeiros @BolsonaroSP @policiafederal Carlos Bolsonaro melhor e mais votado depurado de 2022.,0,,neutro,BOTTOM 5
2026-01-15,@BolsonaroSP @policiafederal Isso mesmo Eduardo! É armadilha! Eles querem te prender!,0,,neutro,BOTTOM 5
2026-01-15,"@BolsonaroSP @policiafederal Vai trabalhar, vagabundo. Até quando vai ficar com esse mi mi mi?",0,,negativo,BOTTOM 5
2026-01-13,"@BolsonaroSP @policiafederal Pede seu amigo Trump pra te ajudar...! Dudu,vc nem precisa voltar para o terceiro mundo... Fica aí mesmo deputado...!!",0,,neutro,BOTTOM 5
