conta,frequencia
@BolsonaroSP,809
@policiafederal,803
@marioadolfo,30
@clarke_de_souza,17
@VladimirAlves,15
@delaurentiis_br,13
@Omardeideais,13
@grok,9
@SouFlamengo8119,7
@patitricolor,7
@JosJac5,6
@GalizaAr,6
@RicardoSagulo,5
@Tha_Gasparetto,5
@MedeirosMaick,5
@cryssue,5
@viegastt,4
@ArturFernandoP,4
@NP__Oficial,4
@Marcosvt_65,4
@LOuspensky,4
@vaniafoortes,4
@DaltonMachadoG,3
@MariaFerrari72,3
@mauriciome47366,3
@fmodollo,3
@MedicoLiberdade,3
@LisianeCanto,3
@DboraPa79045505,3
@lula_livre_jah,3
@ivantuita,3
@psantossoares93,2
@CombativeAdvoc,2
@JulioFDRezende,2
@AngelicaKu52947,2
@gusmao_luna,2
@carlosdisseisso,2
@AbnerSeminara,2
@Belzebu___666,2
@Biofahda,2
@JoseildodeAndr2,2
@Juliapierri,2
@DouglasRMR85,2
@dani_jaming,2
@allianz2023,2
@CaosGermando,2
@adilsonhefler,2
@guacamaya07,2
@MelMatos01,1
@NassarCarmelena,1
@inezmedeiros,1
@lacerdista,1
@joao8_32_JB,1
@AnaMiclas,1
@Lkcoment,1
@PsouzaWaldir,1
@AnarcoFino,1
@realDonaldTrump.,1
@papel_em_branco,1
@defwooni,1
@DavidTeixe62028,1
@betotupinamba,1
@Alcides47268101,1
@HelCleiton,1
@MichaelAbr8409,1
@darwin_junior,1
@gabimsol,1
@tatiursal,1
@LucianeSAbreu1,1
@jeanwyllys_real,1
@mariajulia512,1
@_Janoninho,1
@jota_pe13,1
@Kc4Tw,1
@lzx1337,1
@RikeTenorio,1
@fick_vera,1
@Tupi1027598,1
@RosaneZane2109,1
@BiazitaGomes,1
@lojashavana,1
@nottinytino,1
@bundo,1
@pextedaju,1
@diogobjjsantos,1
@Tinaanonim4,1
@sergueilovisk,1
@Grok,1
@balhar,1
@g,1
@budo,1
@VeraTor61676200,1
@Rosemar22372662,1
@MPF_PGR,1
@severinosertaox,1
@Fax47cadeiras,1
@jpmaranhense,1
@jairbolsonaro,1
@Fgndes,1
@bbcasbb,1
@ElaynePinheir14,1
@amazinggraces85,1
@MarcoBelleza1,1
@paranhos_marcus,1
@Gus_Franco,1
@shotgun_chaoz,1
@JoseRob42218527,1
@ABaialardi,1
@loucoporti100,1
@CairoDeOrleans,1
@Zaratus26,1
@JotaVidal88,1
@FunkeiroSim,1
@Alllexand,1
@crbragaglia,1
@rodwritercount,1
@jordanioliveira,1
@BastiaoRaposa,1
@Daiani_com_i,1
@Euavisei2023_,1
