frase,frequencia
onu brasil china,6
brasil china rússia,6
china rússia criticam,6
rússia criticam eua,6
criticam eua dizem,6
eua dizem guerra,6
dizem guerra conselho,6
guerra conselho segurança,6
conselho segurança reuniu,6
segurança reuniu hoje,6
reuniu hoje discutir,6
hoje discutir crise,6
discutir crise venezuela,6
maduro vai entregar,5
cansa passar vergonha,4
pai tá preso,4
tic tac tic,4
tac tic tac,4
médicos nao deveriam,4
nao deveriam ter,4
deveriam ter dado,4
ter dado alta,4
dado alta pai,4
alta pai coajidos,4
pai coajidos onde,4
coajidos onde ja,4
onde ja viu,4
ja viu passar,4
viu passar tanto,4
passar tanto cirurgia,4
tanto cirurgia menos,4
cirurgia menos semana,4
menos semana sair,4
semana sair alta,4
sair alta voltar,4
alta voltar cadeia,4
voltar cadeia vcs,4
cadeia vcs vao,4
vcs vao aceitar,4
vao aceitar istoseu,4
aceitar istoseu pai,4
istoseu pai vai,4
pai vai morrer,4
vai morrer nao,4
morrer nao deveria,4
nao deveria cadeia,4
deveria cadeia acordem,4
lula vai cair,3
banana chocolate kkkk,3
chocolate kkkk bolsonarosp,3
