palavra,frequencia
bolsonarosp,460
nicolasmaduro,452
adrianobhavanas,43
csforever,42
pai,39
lula,39
preso,31
bolsonaro,28
brasil,28
bananinha,27
maduro,22
trump,22
trabalhar,20
teme,19
direita,15
covarde,14
vagabundo,14
defende,13
merda,13
povo,12
bandido,11
burro,11
esquerdista,11
ditador,11
país,11
hehehe,10
cadeia,10
prisão,10
presidente,9
boca,9
eua,9
medo,9
eduardo,9
defendendo,8
família,8
venezuela,8
continua,8
bom,7
kkkkkkkkkkk,7
cabeça,7
ladrão,7
irmão,7
icemanbrasil,7
derrotados,7
fujão,6
realmente,6
mãe,6
esquerda,6
vergonha,6
vida,6
bozo,6
usa,6
filho,6
estragado,6
golpista,6
acabou,6
gado,6
falando,6
brasileiro,6
mesmas,5
contra,5
pior,5
pense,5
lule,5
papai,5
vive,5
kkkkkkkkkk,5
verdade,5
drogas,5
banana,5
horas,5
petróleo,5
sai,5
narrativas,5
bem,5
ditadores,5
maior,5
eleição,4
chorando,4
gosta,4
melhor,4
kkkkkkkkk,4
quase,4
problema,4
fake,4
news,4
idiota,4
coisas,4
brasileira,4
dudu,4
condenado,4
democracia,4
cargo,4
kkkkkkkkkkkk,4
tráfico,4
governo,4
doente,4
justiça,4
marcian,4
lembrese,4
esqueça,4
mentiroso,4
mora,4
eleições,4
golpe,4
certeza,4
perdeu,4
próprio,4
foro,4
bosta,4
mundo,4
escrivão,4
coragem,4
cala,4
pow,4
trabalho,4
pau,4
soberania,4
hahahah,4
prega,4
voto,3
veio,3
causa,3
acontece,3
muita,3
coreia,3
norte,3
muda,3
mãos,3
fhc,3
xandão,3
acredita,3
deputados,3
inss,3
próprios,3
naimar_da,3
quadrilha,3
investigações,3
três,3
mentir,3
urnas,3
sabem,3
vendo,3
envolvido,3
putinha,3
deixou,3
venezuelano,3
dias,3
traidor,3
pátria,3
presidiário,3
tranquilo,3
marynicechris,3
tali_mito,3
raindangerso,3
consegue,3
defesa,3
americano,3
amigo,3
avião,3
uns,3
breve,3
dinheiro,3
foragido,3
mentiras,3
rabo,3
mimimi,3
faltou,3
miséria,3
fdp,3
olavo,3
américa,3
hambúrguer,3
mulher,3
homem,3
dilma,3
parte,3
calma,3
boneca,3
história,3
criminoso,3
lindo,3
caralho,3
visitar,3
acontecer,3
magninsk,3
algo,3
daí,3
frouxo,3
começou,3
paulo,3
elogiou,3
intervenção,3
narcotráfico,3
heheh,3
aguenta,3
