"usuario","data","hora","texto","midia","num_caracteres","num_palavras","num_emojis","num_mencoes","likes","repostagens","comentarios","prob_positivo","prob_neutro","prob_negativo","sentimento_geral"
"gracinhapmoreira","2026-01-09","04:25:27","🙌🙌🙌🙌🙌",0,5,1,5,0,2,"",0,0.40948575735092163,0.5447133779525757,0.045800935477018356,"neutro"
"nay63","2026-01-09","13:05:58","Glória a Deus 🙏🏼🙌🏼❤️",0,20,4,3,0,2,"",0,0.9515771269798279,0.0401761531829834,0.008246766403317451,"positivo"
"_valterraza","2026-01-09","01:22:01","Oh meu Deus",0,11,3,0,0,16,"",0,0.5101711750030518,0.307803213596344,0.18202561140060425,"positivo"
"rosileneaguiarr","2026-01-09","21:17:15","Que lindooo, não tem como não se emocionar!😭😭😭😭👏👏👏👏🙏🙏🙏🙏",0,55,8,12,0,6,"",0,0.829025387763977,0.06769459694623947,0.10328004509210587,"positivo"
"faucerqueira001","2026-01-09","14:07:43","Aleluia! Louvado seja Deus! Deus nunca falha",0,44,7,0,0,3,"",0,0.9178271889686584,0.06582722067832947,0.016345607116818428,"positivo"
"mellloelisa","2026-01-09","11:22:01","Deus é fiel ❤️",0,14,4,1,0,1,"",0,0.9806473851203918,0.016181660816073418,0.003170914715155959,"positivo"
"cida_bassetto_62","2026-01-09","09:06:27","A verdade e a justiça de Deus sempre prevalecerá, aqui no Brasil também está chegando a hora, em nome de Jesus Cristo 🙏🏽",0,120,23,1,0,4,"",0,0.7427078485488892,0.24480392038822174,0.012488219887018204,"positivo"
"celia.souza1968hotmail.com_","2026-01-09","02:15:34","Glória a Deus 🙏. Será assim também pra nós 🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷",0,55,10,7,0,89,"",2,0.9300168752670288,0.06231812387704849,0.007665037177503109,"positivo"
"veronica.amato.fisio","2026-01-09","01:03:47","quando o daqui será preso?",0,26,5,0,0,4,"",0,0.008771799504756927,0.9478545784950256,0.04337362200021744,"neutro"
"ledarodrigues773","2026-01-10","09:54:15","Não ha maior alegria de ver essa pessoas livres..Deus nos libertara também eu creio deste sistema imundo que acomete em nosso Brasil 🙏🇧🇷🇧🇷🇧🇷👏",0,141,23,5,0,4,"",0,0.904829740524292,0.05445284768939018,0.040717337280511856,"positivo"
"selminha_jorge","2026-01-09","01:15:29","Libertem Bolsonaro, e os demais inocentes!!!!! @realdonaldtrump",0,63,7,0,1,2,"",0,0.1307082176208496,0.7851450443267822,0.08414683490991592,"neutro"
"virginiausa2005","2026-01-09","01:51:41","VENEZUELA LIVRE",0,15,2,0,0,5,"",0,0.07233794778585434,0.8354655504226685,0.0921964943408966,"neutro"
"dannyfranccys","2026-01-09","01:16:22","Só Deus na causa aqui nesse Brasil e nas eleições pra ter o Flávio como presidente e mandar soltar os presos injustamente no 08 de janeiro.. será a única solução 🙌",0,163,31,1,0,3,"",0,0.03886602073907852,0.1418883204460144,0.8192455768585205,"negativo"
"rmap2024","2026-01-09","09:34:37","Obrigada Deus pela vitória na vida dessas pessoas! 🇧🇷 Dios os bendigas!",0,71,12,1,0,4,"",0,0.9840677976608276,0.014183973893523216,0.001748241949826479,"positivo"
"gugafigu","2026-01-09","03:40:25","@karine_grazy eu coloquei o print na tela da postagem verdadeira. Vou colocar o link nos stories pra quem quiser conferir a postagem original.",0,142,23,0,1,200,"",29,0.10600796341896057,0.8559927940368652,0.037999268621206284,"neutro"
"elisabeteromariz","2026-01-09","18:19:34","Deus permita que aqui aconteça o mais rápido possível, pois são três anos de sofrimento e muita dor! 🙏🫶🏻🇧🇷",0,106,19,3,0,2,"",0,0.5075454711914062,0.37364497780799866,0.11880956590175629,"positivo"
"gleysconsuelo","2026-01-09","02:34:01","Venezuela LIVRE 🙏",0,17,3,1,0,10,"",0,0.09697584062814713,0.8402165770530701,0.06280757486820221,"neutro"
"dharenicce","2026-01-09","15:23:52","Anistia já para nossos presos políticos 🙏🇧🇷",0,43,7,2,0,13,"",1,0.22100929915905,0.6580331921577454,0.12095749378204346,"neutro"
"pastorataniasilva","2026-01-09","02:04:45","Vai chegar nosso dia aqui no Brasil dos presos políticos serem libertos, eu creio Deus é por nós.",0,97,18,0,0,4,"",0,0.4851059913635254,0.4424377977848053,0.0724562555551529,"positivo"
"angelahaoki","2026-01-09","03:45:46","Que esse exemplo nos sirva de lição",0,35,7,0,0,4,"",0,0.9320822358131409,0.06012989953160286,0.007787815295159817,"positivo"
"eliz_etezile","2026-01-09","01:54:59","",0,0,0,0,0,10,"",0,0.0,1.0,0.0,"neutro"
"gugafigu","2026-01-09","02:19:58","Tá me xingando pq? Que eu te fiz?",0,33,8,0,0,147,"",4,0.012625478208065033,0.276999294757843,0.7103752493858337,"negativo"
"chique_sem_ser_caro","2026-01-09","20:25:33","VÍDEO ANTIGO, COM DIREITO A IA",0,30,6,0,0,39,"",1,0.2583499252796173,0.705623984336853,0.03602610155940056,"neutro"
"prof.frederico_mendonca","2026-01-09","21:26:02","Anistia já para os presos políticos no Brasil",0,45,8,0,0,4,"",0,0.05718010663986206,0.5681309700012207,0.37468892335891724,"neutro"
"tatialvesdacosta","2026-01-09","01:01:58","Falta aqui no Brasil os reféns serem soltos",0,43,8,0,0,10,"",0,0.014338526874780655,0.14883892238140106,0.8368224501609802,"negativo"
"fernandajesusdiamante","2026-01-09","02:43:56","Glória a Deus e a vida do Trump!!",0,33,8,0,0,99,"",1,0.9308299422264099,0.05993284285068512,0.009237143211066723,"positivo"
"omennsageiro","2026-01-15","18:54:33","Enquanto muitos venezuelanos estão felizes, tem a esquerdalha fazendo protesto contra prisão de maduro.",0,103,14,0,0,1,"",0,0.044333431869745255,0.44606107473373413,0.5096055269241333,"negativo"
"lluizaleite","2026-01-09","01:57:43","Por favor @realdonaldtrump olha para o Brasil e para Bolsonaro 🇧🇷🇺🇸🇧🇷🇺🇸🇧🇷🇧🇷🇺🇸🇧🇷🇧🇷",0,81,11,9,1,4,"",0,0.38478708267211914,0.5381509065628052,0.0770619809627533,"neutro"
