data,texto,likes,comentarios,sentimento_geral,tipo
2026-01-09,Vídeo de 2024 e o finalzinho do cara chorando é IA.,527,68,neutro,TOP 5
2026-01-09,Justiça sendo feita,202,2,positivo,TOP 5
2026-01-09,@karine_grazy eu coloquei o print na tela da postagem verdadeira. Vou colocar o link nos stories pra quem quiser conferir a postagem original.,200,29,neutro,TOP 5
2026-01-09,Tá me xingando pq? Que eu te fiz?,147,4,negativo,TOP 5
2026-01-09,Glória a Deus e a vida do Trump!!,99,1,positivo,TOP 5
2026-01-09,👏👏👏👏🙌🙌,0,1,positivo,BOTTOM 5
2026-01-23,Glórias a Deus!!!!,0,0,positivo,BOTTOM 5
2026-01-23,Que lindo a legria da família.Deus maravilhoso!!!!!,0,0,positivo,BOTTOM 5
2026-01-22,#ACORDA_BRASIL🇧🇷🙏,0,0,neutro,BOTTOM 5
2026-01-22,Presidente Donald Trump obrigado pelos venezuelanos agora aguardamos o Brasil ser liberto.,0,0,neutro,BOTTOM 5
