frase,frequencia
phrodrigues_87 bolsonarosp lulaoficial,9
stellacstmo bolsonarosp lulaoficial,8
presos políticos venezuela,8
flaviobolsonaro carlosbolsonaro mi_bolsonaro,6
liberações presos políticos,6
bolsonarosp lulaoficial flaviobolsonaro,5
lulaoficial flaviobolsonaro carlosbolsonaro,5
carlosbolsonaro mi_bolsonaro jairbolsonaro,5
bolsonarosp vídeo 2024,4
fontes reuters bbc,3
políticos venezuela janeiro,3
venezuela janeiro 2026,3
fontes cnn reuters,3
bolsonarosp vídeo mostra,3
bolsonarosp presos políticos,3
bolsonarosp deus abençoe,3
bolsonarosp aqui brasil,2
xprosahhh fran202210 bolsonarosp,2
verifiquei fontes reuters,2
políticos venezuela ocorreram,2
janeiro 2026 após,2
após captura maduro,2
grok bolsonarosp grok,2
bolsonarosp sim vídeo,2
sim vídeo atual,2
vídeo atual mostra,2
janeiro 2026 conforme,2
relatórios confirmam eventos,2
rafaellulista bolsonarosp vídeo,2
bolsonarosp fake news,2
afp factual veridatos,2
novembro 2024 2026,2
relatórios fontes cnn,2
presos políticos libertados,2
presos políticos brasileiros,2
malheirosfilm bolsonarosp grok,2
grok malheirosfilm bolsonarosp,2
bolsonarosp glória deus,2
bolsonarosp poderia imaginar,2
vídeo mostra momentos,2
após captura nicolás,2
captura nicolás maduro,2
bolsonarosp grok contexto,2
grok contexto vídeo,2
bolsonarosp acordo fontes,2
