frase,frequencia
honra toga,682
fux honra,610
toga fux,30
fiz hora,30
hora toca,28
fiz honra,21
ministro fux,16
honrar toga,13
hora toga,12
parabéns fux,11
parabéns ministro,9
fux hora,9
honra toca,7
fux honrar,5
fux apoia,4
apoia toga,4
fux honrra,4
honrra toga,4
fux horra,4
horra toga,4
fux senhor,3
fux deu,3
toga nome,3
nome jesus,3
honrou toga,3
toga parabéns,3
faz jus,2
jus cadeira,2
cadeira ministro,2
honra toda,2
ministro luiz,2
luiz fux,2
ministro honra,2
honra atoga,2
toga honra,2
favor fux,2
honra tóga,2
fux onrra,2
juiz fux,2
fux honrou,2
luis fux,2
fuz honra,2
aula direito,2
27 anos,2
fix honra,2
ministro stf,2
toga obrigada,2
salve fux,2
fica honra,2
