"usuario","data","hora","texto","midia","num_caracteres","num_palavras","num_emojis","num_mencoes","likes","repostagens","comentarios","prob_positivo","prob_neutro","prob_negativo","sentimento_geral"
"SoniaYuriko","2025-12-28","03:34:24","@GayerGus #fuzhonraatoga",0,24,2,0,1,0,0,"",0.11829855293035507,0.8672195672988892,0.014481866732239723,"neutro"
"sussubel07","2025-12-08","13:43:11","@GayerGus Fux honra a toga.",0,27,5,0,1,0,0,"",0.37914982438087463,0.5680954456329346,0.052754782140254974,"neutro"
"JuniorLima2905","2025-11-01","21:51:07","@GayerGus FUX HONRA A TORGA",0,27,5,0,1,0,0,"",0.7936658263206482,0.19532430171966553,0.011009876616299152,"positivo"
"wrmarcondes","2025-10-31","22:35:23","@GayerGus PT PARTIDO DE TRAFICANTE",0,34,5,0,1,0,0,"",0.0041066864505410194,0.020359458401799202,0.9755339026451111,"negativo"
"77Sidneia","2025-10-31","21:51:47","@GayerGus #ptpartidodetraficante",0,32,2,0,1,0,0,"",0.008593698032200336,0.06972099840641022,0.9216852784156799,"negativo"
"GelsonPetroski","2025-10-29","01:08:09","@GayerGus Fux honra a toga",0,26,5,0,1,0,0,"",0.28232690691947937,0.6769954562187195,0.040677621960639954,"neutro"
"MarioJo57114460","2025-10-20","00:34:44","@GayerGus Fiz honra a Toga",0,26,5,0,1,0,0,"",0.11668229103088379,0.8523219227790833,0.030995717272162437,"neutro"
"kuxinha","2025-10-05","02:37:55","@GayerGus Fux honra abtoga",0,26,4,0,1,0,0,"",0.13751734793186188,0.8248937726020813,0.03758888319134712,"neutro"
"crisiabrudi","2025-10-04","03:23:16","@GayerGus #fuxhonratoga",0,23,2,0,1,0,0,"",0.10959091782569885,0.862897515296936,0.02751157246530056,"neutro"
"LuAlmeida19665","2025-09-25","21:17:27","@GayerGus Cansada desse cara 😡",0,30,5,1,1,0,0,"",0.005037691444158554,0.004806608892977238,0.9901556968688965,"negativo"
"SylviaO33370297","2025-09-23","18:14:49","@GayerGus Trump honra a Toga",0,28,5,0,1,0,0,"",0.04648156091570854,0.9168223142623901,0.03669612109661102,"neutro"
"makus_silvana","2025-09-22","15:49:36","@GayerGus Gosto muito de Gustavo Gayer",0,38,6,0,1,0,0,"",0.9888759255409241,0.009057700634002686,0.002066368004307151,"positivo"
"NorivalCo","2025-09-19","21:01:14","@GayerGus FUX HONRA A TOGA",0,26,5,0,1,0,0,"",0.4192315340042114,0.5613247156143188,0.019443796947598457,"neutro"
"NorivalCo","2025-09-19","21:00:28","@GayerGus Fux honra a toga",0,26,5,0,1,0,0,"",0.28232690691947937,0.6769954562187195,0.040677621960639954,"neutro"
"LuziaMacedo6","2025-09-18","23:49:27","@GayerGus @CristalBr7 Fux honra a toga",0,38,6,0,2,0,0,"",0.4312818944454193,0.5348796844482422,0.033838432282209396,"neutro"
"LuziaMacedo6","2025-09-18","23:48:54","@GayerGus @CristalBr7 FUX HONRA A TORGA",0,39,6,0,2,0,0,"",0.8475492000579834,0.14499829709529877,0.007452552206814289,"positivo"
"LuziaMacedo6","2025-09-18","23:47:11","@GayerGus @CristalBr7 FUX ONRA A TORGA",0,38,6,0,2,0,0,"",0.7898133993148804,0.20321910083293915,0.006967523135244846,"positivo"
"JlioNogueira12","2025-09-18","10:48:44","@GayerGus FUX HONRA A TOGA!",0,27,5,0,1,0,0,"",0.627168595790863,0.3569433391094208,0.01588813215494156,"positivo"
"Suzetsilva","2025-09-17","20:27:22","@capitao_alden @GayerGus Fux honra a toga",0,41,6,0,2,0,0,"",0.4312818944454193,0.5348796844482422,0.033838432282209396,"neutro"
"Suzetsilva","2025-09-17","20:27:00","@LuizFClark @GayerGus Fux honra a toga",0,38,6,0,2,0,0,"",0.4312818944454193,0.5348796844482422,0.033838432282209396,"neutro"
"Suzetsilva","2025-09-17","20:26:43","@ElziAnanias @GayerGus Fux honra a toga",0,39,6,0,2,0,0,"",0.4312818944454193,0.5348796844482422,0.033838432282209396,"neutro"
"JB_SABINO2020","2025-09-17","17:10:35","@GayerGus @MCBMS16 FUX HONRA A TOGA",0,35,6,0,2,0,0,"",0.44104522466659546,0.5434417128562927,0.015512987971305847,"neutro"
"BrancoLivia","2025-09-17","12:12:00","@GayerGus Ele é vingativo.",0,26,4,0,1,0,0,"",0.09372840076684952,0.8872501850128174,0.019021430984139442,"neutro"
"Fabio120970","2025-09-17","02:37:06","@GayerGus FUX HONRA A TOGA",0,26,5,0,1,0,0,"",0.4192315340042114,0.5613247156143188,0.019443796947598457,"neutro"
"drykabolsas","2025-09-16","15:12:45","@GayerGus Fiz honra a toga",0,26,5,0,1,0,0,"",0.20862996578216553,0.7516506314277649,0.03971945121884346,"neutro"
"wcgarbin","2025-09-16","08:19:50","@GayerGus FUX HONRA A TOGA",0,26,5,0,1,0,0,"",0.4192315340042114,0.5613247156143188,0.019443796947598457,"neutro"
"betobellin","2025-09-16","03:11:54","@GayerGus FUX HONRA A TOGA",0,26,5,0,1,0,0,"",0.4192315340042114,0.5613247156143188,0.019443796947598457,"neutro"
"MarconiSilves","2025-09-16","00:38:13","@GayerGus Isso é um deputadorzinho fraco e muitooooo mentiroso. É o que a porcariadaa redes sociais sociais faz, uma porcaria desse ser deputado.",0,145,23,0,1,0,0,"",0.0028969880659133196,0.004642271902412176,0.9924607872962952,"negativo"
"GinaFaria5","2025-09-15","23:58:38","@GayerGus Fux honra a toga",0,26,5,0,1,0,0,"",0.28232690691947937,0.6769954562187195,0.040677621960639954,"neutro"
"TerezaBarretoo","2025-09-15","18:43:48","@GayerGus #fuxhonraatoga",0,24,2,0,1,0,0,"",0.0872509703040123,0.9009360074996948,0.011813032440841198,"neutro"
"AntoniaPortela6","2025-09-15","18:08:15","@GayerGus #fuxhonraatoga",0,24,2,0,1,0,0,"",0.0872509703040123,0.9009360074996948,0.011813032440841198,"neutro"
"ROSANAALVIM2","2025-09-15","16:50:13","@GayerGus Fux honra a toga!",0,27,5,0,1,0,0,"",0.5414577126502991,0.41493940353393555,0.04360295832157135,"positivo"
"valdemarbatist1","2025-09-15","10:50:51","@GayerGus Fux honra a toga",0,26,5,0,1,0,0,"",0.28232690691947937,0.6769954562187195,0.040677621960639954,"neutro"
"MorisaGarbelot1","2025-09-15","04:34:59","@GayerGus Fux honra a toga",0,26,5,0,1,0,0,"",0.28232690691947937,0.6769954562187195,0.040677621960639954,"neutro"
"eluar_dias","2025-09-15","02:41:55","@GayerGus Fux honra a toga",0,26,5,0,1,0,0,"",0.28232690691947937,0.6769954562187195,0.040677621960639954,"neutro"
"Ferlimabq66","2025-09-14","23:28:37","@GayerGus FUX HONRA A TOGA.",0,27,5,0,1,0,0,"",0.4848972260951996,0.49424034357070923,0.020862391218543053,"neutro"
"PauloNovo7","2025-09-14","23:18:54","@GayerGus Fui Honra a Toga",0,26,5,0,1,0,0,"",0.19900766015052795,0.7742601633071899,0.026732144877314568,"neutro"
"MagaliMachadoB2","2025-09-14","22:47:59","@GayerGus Fux honra a toga",0,26,5,0,1,0,0,"",0.28232690691947937,0.6769954562187195,0.040677621960639954,"neutro"
"marisdearaujo","2025-09-14","22:31:41","@GayerGus FUX HONRA A TOGA",0,26,5,0,1,0,0,"",0.4192315340042114,0.5613247156143188,0.019443796947598457,"neutro"
