palavra,frequencia
gayergus,621
toga,435
honra,427
fux,422
bolsonaro,53
fuxhonraatoga,52
suprema,42
perseguição,40
matar,38
fuxhonratoga,20
organização,18
criminosa,18
líder,16
queremmatarbolsonaro,12
luizfclark,11
supremaperseguicao,10
elziananias,9
claudiorocha,9
ubaldosimoes,9
golpista,8
nunesoliveira,8
juiz,8
cadeia,8
marilenesl,7
condenado,7
fabriciomello,6
anula,5
papuda,5
nandapatriota,5
ministro,5
brasil,5
torga,4
capitao_alden,4
fix,4
cascorreia,4
ladrão,4
único,4
claudiogrx,4
vitorfelix,4
fuzhonraatoga,3
gayer,3
cristalbr,3
onra,3
redes,3
sociais,3
contra,3
medo,3
lula,3
apoia,3
fuxhonraatogaanulatudo,3
processo,3
sabem,3
sorayarodr,3
magnitskynaglobo,3
honrou,3
povo,3
perdeu,3
mané,3
stf,3
corte,3
verdadeiro,3
deus,3
rede,3
social,3
ninguém,3
caralho,3
esquerda,3
constituição,3
faço,3
trump,2
gustavo,2
mentiroso,2
deputado,2
anistia,2
lixo,2
assassino,2
etc,2
certeza,2
colegas,2
continuam,2
mãos,2
sai,2
daí,2
igual,2
representa,2
marcosa,2
parte,2
sanções,2
jumentos,2
direito,2
deixou,2
morrer,2
brasileiro,2
merda,2
tantas,2
provas,2
nepal,2
correto,2
fim,2
alexandre,2
morais,2
lamentável,2
pessoas,2
narrativa,2
luiz,2
voto,2
fuz,2
teatro,2
ministros,2
favor,2
direita,2
triste,2
bandido,2
carai,2
nenhuma,2
kkkkkkkkkkkkkkkkkk,2
políticos,2
preocupados,2
brasileiros,2
tôga,2
lei,2
tomar,2
preso,2
parar,2
inútil,2
condenou,2
congresso,2
magnitsky,2
advogado,2
juíz,2
carreira,2
federal,2
manter,2
hummmmm,2
mickey,2
resto,2
gravidade,2
partido,1
traficante,1
ptpartidodetraficante,1
abtoga,1
cansada,1
gosto,1
mcbms,1
vingativo,1
deputadorzinho,1
fraco,1
muitooooo,1
porcariadaa,1
porcaria,1
votasse,1
comunista,1
erve,1
vobrir,1
mucúlatura,1
glútea,1
uja,1
mendonça,1
bozo,1
comparsas,1
iaraperez,1
criminoso,1
crápula,1
verme,1
levantar,1
bandeira,1
fuxhorraatoga,1
destaque,1
cade,1
senado,1
fiscalizar,1
aumentar,1
indignação,1
insignificantes,1
postagem,1
somostodosbolsonaro,1
anulatudo,1
incompetênciaabsoluta,1
demitaumesquerdista,1
demitaextremistas,1
latindo,1
lua,1
pretendem,1
improdutiva,1
maluco,1
safado,1
zerogoulart,1
uns,1
alienados,1
alcolumbreculpadodaditaduranobrasil,1
fuxhonrasuatoga,1
bêbado,1
matador,1
real,1
provou,1
nulidade,1
tirem,1
httpstcoymcdaiof,1
httpstcofqekpiittw,1
httpstcozhozuqm,1
httpstcohgejlctyx,1
rapá,1
mostrar,1
eua,1
gang,1
tentar,1
escapar,1
simples,1
visível,1
desisto,1
jamais,1
condena,1
ajudante,1
ordens,1
braço,1
alguémele,1
livrou,1
colegasvcs,1
httpstcoanqbnyctp,1
enfartar,1
acontecer,1
sofrer,1
burro,1
adianta,1
discurso,1
traiu,1
mediante,1
votou,1
condenação,1
desvio,1
caráter,1
pára,1
paga,1
lágrimas,1
bolsoloides,1
