hashtag,frequencia
#fuxhonraatoga,23
#fuxhonratoga,19
#supremaperseguicao,10
#Fuxhonraatoga,8
#queremmatarbolsonaro,7
#FUXHONRAATOGA,6
#QUEREMMATARBOLSONARO,4
#FuxHonraATogaAnulaTudo,3
#MagnitskynaGlobo,3
#fuzhonraatoga,2
#FuxHonraAToga,2
#FUX,2
#ptpartidodetraficante,1
#Fuxhorraatoga,1
#SOMOSTODOSBOLSONARO,1
#ANULATUDO,1
#INCOMPETÊNCIAABSOLUTA,1
#DEMITAUMESQUERDISTA,1
#DEMITAEXTREMISTAS,1
#alcolumbreculpadodaditaduranobrasil,1
#FUXHONRASUATOGA,1
#STF,1
#STFOrganizaçãoCriminosa,1
#STFVergonhaMundial,1
#STFVERGONHAINTERNACIONAL,1
#stf,1
#FuxAnulaTudo,1
#FuxSegueaConstituiçao,1
#FuxJuizHonraAtoga,1
#SUPREMAPERSEGUIÇÃO,1
#supremapersiguiçao,1
#esquerdaassassina,1
#supremaperceguição,1
#bolsonarolivre,1
#Fuxhonraa,1
#SupremaPerserquicao,1
#QueremmatarBolsonaro,1
#ReageBrasil,1
#Fuz,1
#foralula,1
#foramoraes,1
