data,texto,likes,comentarios,sentimento_geral,tipo
2026-01-04,Começamos 2026 com pé direito! ✊🏻💚,3875,47,positivo,TOP 5
2026-01-04,Glória a Jesus! Falta Lula e seu governo do inferno!,2515,16,positivo,TOP 5
2026-01-04,🇦🇷ARGENTINA - LIVRE 🇧🇴BOLÍVIA - LIVRE ✔ 🇵🇾PARAGUAI - LIVRE 🇪🇨EQUADOR LIVRE 🇨🇱CHILE LIVRE ✔ 🇸🇻El Salvador - LIVRE 🇻🇪VENEZUELA - LIVRE O aviso foi dado LULA 🇧🇷 BRASIL - LOADING...,2424,59,neutro,TOP 5
2026-01-04,"Quem concorda, que não a mal que dure para sempre 👉🏻",2207,22,neutro,TOP 5
2026-01-04,Venezuela começou com o pé DIREITO!!,1912,14,positivo,TOP 5
2026-01-04,Oh dó,0,1,negativo,BOTTOM 5
2026-01-04,"Imaginei o Alexandre de Moraes assim! Só espero que imaginar também nao seja crime! Se for crime eu nao imaginei nao, eu só to brincando! 😄🤣",0,0,neutro,BOTTOM 5
2026-01-24,A hora dos daqui está PRÓXIMA.,0,0,neutro,BOTTOM 5
2026-01-13,Deus te ouça. 🙏🇧🇷,0,0,positivo,BOTTOM 5
2026-01-11,,0,0,neutro,BOTTOM 5
