frase,frequencia
sandice21031914 gayergus elonmusk,54
edilenekubiki sandice21031914 gayergus,28
gayergus elonmusk xai,27
grok sandice21031914 gayergus,27
gayergus elonmusk grok,14
elonmusk xai grok,13
elonmusk xai haha,11
run wild dyva,10
wild dyva star,10
xai haha maloqueira,9
gayergus elonmusk haha,7
digital power dyva,5
power dyva star,5
dyva star vai,4
crianças menores anos,4
saga dyva star,4
gayergus bom ver,3
run wild tortuguete,3
3d this is,3
this is not,3
is not real,3
maloqueira dyva star,3
dyva star vamos,3
run wild vai,3
gayergus deveria preso,2
gayergus jeronimocoll comparação,2
alimentar pombas cura,2
pombas cura ego,2
escuto dyva star,2
dyva star dou,2
star dou risada,2
jan val ellam,2
cutucando matrix 3d,2
vamos cutucar matrix,2
haha maloqueira glitch,2
wild tortuguete aprova,2
logos dyva star,2
maloqueira digital power,2
música digital power,2
tortuguete fenômeno cultural,2
chefe elonmusk xai,2
deixar run wild,2
elonmusk haha verdade,2
eight kids laughing,2
kids laughing chaos,2
laughing chaos on,2
chaos on the,2
on the floor,2
letra ansioso lançamento,2
wild vai capturar,2
