"usuario","data","hora","texto","midia","num_caracteres","num_palavras","num_emojis","num_mencoes","likes","repostagens","comentarios","prob_positivo","prob_neutro","prob_negativo","sentimento_geral"
"maurodallan","2025-09-03","19:30:55","Essa é a mais bela notícia, sendo premiada com a Magnitsky",0,58,11,0,0,319,"",0,0.9843903183937073,0.013532372191548347,0.002077352488413453,"positivo"
"elianepp1958","2025-09-03","23:08:32","Justiça ! Misericórdia senhor 🙏🙌🏡🇧🇷",0,35,5,4,0,28,"",0,0.04743191972374916,0.07081782072782516,0.8817501664161682,"negativo"
"rogergarnie807","2025-09-09","19:53:42","Sim 👏👏👏👏👏👏🇧🇷🇧🇷🇧🇷🇧🇷",0,18,2,10,0,1,"",0,0.7345389127731323,0.23487097024917603,0.030590087175369263,"positivo"
"mariaalicerodrigues1953","2025-09-03","19:30:51","Deus, salve o Brasil e o presidente Bolsonaro!",0,46,8,0,0,174,"",1,0.8659560680389404,0.1171116828918457,0.01693224161863327,"positivo"
"iquiel_alves","2025-09-08","12:02:33","Concordo plenamente magnistik já....",0,36,4,0,0,2,"",0,0.911324679851532,0.07548684626817703,0.013188428245484829,"positivo"
"aparecidofariade","2025-09-06","19:33:09","Parabéns tagliaferro péla coragem e determinação",0,48,6,0,0,5,"",0,0.9774503707885742,0.018941400572657585,0.003608288010582328,"positivo"
"iracidossantosvieira","2025-09-04","00:52:23","Eu já não vejo essa emissora faz tempo",0,38,8,0,0,20,"",1,0.010715046897530556,0.06147770211100578,0.9278072714805603,"negativo"
"eduardocheira","2025-09-04","03:41:21","Mais de 6 mil e 600 comentários....!!! O Brasil quer magnisth na Globo....!!! 🙌🏼🙌🏼🙌🏼🇺🇸🇮🇱🇧🇷",0,90,14,6,0,33,"",0,0.432418555021286,0.5440216064453125,0.023559853434562683,"neutro"
"andrea.sperandi","2025-09-08","23:21:29","@realpfigueiredo08 msgnitsky na globo por favor",0,47,6,0,1,1,"",0,0.0989232063293457,0.7777581810951233,0.12331860512495041,"neutro"
"eufrasia_lucia","2025-09-04","03:27:43","Não se esqueça do William Bonner",0,32,6,0,0,211,"",7,0.035956308245658875,0.9151046872138977,0.048939041793346405,"neutro"
"rosana6551","2025-09-03","20:39:04","Magnitsky na Rede Globo 🙌",0,25,5,1,0,32,"",0,0.04033110290765762,0.9497140645980835,0.00995482038706541,"neutro"
"aparecidavicentedasilva","2025-09-03","18:41:03","Não só a globo, mas a Record e a Band sustentam essa narrativa até hoje. Toda a mídia deveria sofrer sanções.",0,109,21,0,0,1557,"",42,0.010098665952682495,0.13018102943897247,0.8597203493118286,"negativo"
"gilbertotulli","2025-09-06","19:24:49","Muito importante todos entenderem o que esse vídeo está mostrando. Mensagem clara e com exemplo objetivo",0,104,16,0,0,3,"",0,0.98633873462677,0.011054547503590584,0.0026066831778734922,"positivo"
"nilsondovioloncelo","2025-09-03","19:43:43","Parabéns pela postura meu amigo 👏🏻👏🏻👏🏻👏🏻",0,40,6,4,0,963,"",0,0.9703492522239685,0.022651266306638718,0.006999508943408728,"positivo"
"lisa.matsuda_","2025-09-03","21:34:41","Apesar de não assistir essa emissora, hoje fiz questão assistir o Jornal Hoje e realmente não saiu nenhuma nota a respeito do Tagliaferro no Senado.",0,148,25,0,0,137,"",2,0.02658250369131565,0.743445873260498,0.22997167706489563,"neutro"
"claytonsalesdasilva","2025-09-03","18:51:38","A GLObis precisa conhecer a Lei Magnitsk global",0,47,8,0,0,937,"",2,0.07228199392557144,0.8721931576728821,0.05552486702799797,"neutro"
"geraldamarinato","2025-09-03","18:54:15","Magnitsky na rede Globo urgente",0,31,5,0,0,8,"",0,0.02406911924481392,0.7473565340042114,0.22857427597045898,"neutro"
"helena.paivamart","2025-09-09","20:55:31","Pelo contrário e paga pra destruir provas e não mostrar.",0,56,10,0,0,1,"",0,0.014430168084800243,0.15238428115844727,0.8331855535507202,"negativo"
"ermida_neuma","2025-09-04","20:58:56","Não foi somente a Globo. Todas as instituições televisivas brasileira não falou, nao denunciou.",0,95,14,0,0,5,"",0,0.02293078601360321,0.7881214618682861,0.18894776701927185,"neutro"
"alesson_alexandre26","2025-09-04","09:53:19","Magnitsky na rede globo 🔥🔥",0,26,5,2,0,3,"",0,0.16117703914642334,0.8153830170631409,0.023439936339855194,"neutro"
"tecacost","2025-09-09","11:22:57","Que venha logo MAGNITSKY porque está demorando muito o fim de tantos absurdos que estamos enfrentando.🇧🇷🙏🇺🇸",0,107,16,3,0,2,"",0,0.06905598938465118,0.07973244786262512,0.8512115478515625,"negativo"
"marcelo23_ribeiro","2025-09-09","01:42:22","Eu apoio 🇺🇸",0,11,3,1,0,1,"",0,0.8417540788650513,0.14455218613147736,0.01369370985776186,"positivo"
"andrea.sperandi","2025-09-08","23:20:52","@bolsonarosp magnitsky na globo",0,31,4,0,1,1,"",0,0.019272681325674057,0.9671667814254761,0.013560561463236809,"neutro"
"mariavieiramel","2025-09-08","20:26:45","Magnitsky na globo 🇺🇸🇺🇸🇧🇷🇺🇸",0,27,4,4,0,1,"",0,0.2822619676589966,0.6959534883499146,0.02178451418876648,"neutro"
"synvalmacedo","2025-09-09","01:25:01",",,Eu não vou e nem acredito em tvs e jornal,só o que pego da Oeste",0,66,15,0,0,1,"",0,0.021154511719942093,0.7097904682159424,0.26905500888824463,"neutro"
"ronengrocha","2025-09-09","18:06:32","Magniski na globo",0,17,3,0,0,1,"",0,0.035300616174936295,0.9546386003494263,0.010060727596282959,"neutro"
"ednaldo_b_pereira","2025-09-09","10:29:23","A Globo vai quebrar.",0,20,4,0,0,1,"",0,0.04482961818575859,0.6903297901153564,0.26484057307243347,"neutro"
