frase,frequencia
magnitsky rede globo,4
globo câncer brasil,4
magnitsky globo lixo,4
magnitsky globo urgente,3
globo lixo vai,3
magnistik globo lixo,3
globolixo globolixo globolixo,3
lei magnitsky globo,3
globo lixo magnitsky,3
emissora faz tempo,2
rede globo is,2
todas emissoras sustentam,2
vai chegar hora,2
magnitsky globo todos,2
globo faz parte,2
casa ninguém assiste,2
assisto globo desde,2
deveria ter sido,2
verdade globo lixo,2
globo globo câncer,2
principal culpada tudo,2
culpada tudo passando,2
