palavra,frequencia
globo,340
lixo,123
globolixo,86
magnitsky,67
rede,55
magnitskynaglobo,55
emissora,46
lei,45
brasil,37
verdade,35
realdonaldtrump,27
bolsonaro,25
concordo,24
povo,24
lula,23
deus,21
trump,21
bonner,19
assisto,19
federal,17
cpmidavazatogajácpmidavazatogajá,17
golpe,16
urgente,15
bolsonarosp,15
bem,14
dinheiro,14
câncer,14
presidente,13
regime,13
esgoto,12
casa,12
moraes,12
infelizmente,12
manipula,12
magnistik,10
parabéns,10
realpfigueiredo,10
mídia,10
deveria,10
televisão,10
eleitoral,10
alexandre,10
fechar,10
magnistikynaglobo,10
record,9
apoio,9
esquerda,9
país,9
certeza,9
assistir,8
jornalismo,8
the,8
parte,8
canal,8
emissoras,8
constituição,8
stf,8
muitos,8
sancionada,8
plenamente,7
william,7
demorando,7
direita,7
mentira,7
cair,7
acabar,7
contra,7
crimes,7
brasileiros,7
governo,7
sistema,7
exatamente,7
notícias,7
mentiras,7
manipuladora,7
favor,6
nenhuma,6
ditadura,6
this,6
brasileiro,6
decisão,6
tse,6
base,6
inelegibilidade,6
mal,6
assiste,6
comunista,6
pessoas,6
atual,6
magnistsky,6
graças,6
jornalistas,6
passou,6
vejo,5
band,5
sofrer,5
senado,5
magnitsk,5
brasileira,5
apoia,5
causa,5
família,5
desde,5
jair,5
código,5
estabelece,5
deputados,5
potus,5
willian,5
eua,5
magnisk,5
tomara,5
sonho,5
pura,5
população,5
podre,5
nojo,5
criminosa,5
empresa,5
entra,5
vergonha,5
mentirosa,5
maldita,5
fazem,5
nela,5
manda,5
milhões,5
mim,5
sustentam,4
narrativa,4
sanções,4
jornal,4
venha,4
acredito,4
judiciário,4
and,4
liberdade,4
quadrilha,4
nenhum,4
legalidade,4
decretada,4
câmara,4
maioria,4
concessão,4
redes,4
sociais,4
impostos,4
estado,4
alcolumbre,4
maior,4
anistia,4
bom,4
dias,4
receber,4
magnistk,4
precisamos,4
comprada,4
canalhas,4
magnitsknaglobo,4
sadi,4
melhor,4
perfeito,4
público,4
vergonhoso,4
magnistkynaglobo,4
campanha,4
vendo,4
neles,4
sido,4
enfim,4
globe,4
existe,4
sbt,4
ninguém,4
imprensa,4
etc,4
sancionar,4
junto,4
magnistskynaglobo,4
justiça,3
tagliaferro,3
questão,3
realmente,3
globis,3
global,3
contrário,3
paga,3
mostrar,3
fim,3
vou,3
tvs,3
paulo,3
comunismo,3
vinda,3
braço,3
fonte,3
vale,3
glória,3
coniventes,3
inimigo,3
tornar,3
inelegível,3
expresidente,3
além,3
políticos,3
precedência,3
portanto,3
aplicar,3
votos,3
magnitisk,3
tomar,3
verdadeiro,3
mostra,3
morais,3
merece,3
livre,3
unidos,3
chegue,3
passando,3
muitas,3
inferno,3
nação,3
simples,3
cima,3
desses,3
merda,3
difícil,3
bosta,3
audiência,3
acredita,3
criminosos,3
cúmplices,3
esquerdista,3
pior,3
foraglobo,3
principal,3
duas,3
cnn,3
militantes,3
punição,3
funciona,3
conta,3
ignorantes,3
deveriam,3
muita,3
abaixo,3
nojenta,3
ditadores,3
vida,3
folha,3
pgr,3
grupo,3
ladrão,3
senão,3
consegue,3
demorou,3
demais,3
satanás,3
totalmente,3
aplica,3
cabeça,3
porcaria,3
alguém,3
manipulação,3
punida,3
culpada,3
justo,3
sair,3
nele,3
magnitskyglobo,3
premiada,2
misericórdia,2
senhor,2
coragem,2
mil,2
esqueça,2
importante,2
mostrando,2
objetivo,2
postura,2
respeito,2
conhecer,2
tantos,2
pego,2
oeste,2
consórcio,2
rádio,2
diretor,2
station,2
its,2
time,2
professor,2
conservador,2
cristão,2
trabalho,2
militância,2
dentro,2
hipocrisia,2
mentes,2
algo,2
honra,2
lutar,2
conto,2
começa,2
janeiro,2
ibope,2
art,2
trata,2
leis,2
inconstitucional,2
viola,2
artigo,2
conluio,2
processo,2
boner,2
alimenta,2
dizem,2
abandonando,2
começar,2
repórteres,2
mão,2
magniskynaglobo,2
magnitski,2
pagar,2
motta,2
coisas,2
prova,2
covid,2
bilhões,2
parcialidade,2
perfeita,2
forma,2
mãe,2
manipulada,2
qdo,2
colocar,2
terror,2
sabem,2
cadê,2
fechada,2
organização,2
entender,2
enterra,2
mudar,2
política,2
resolver,2
problema,2
filtro,2
banida,2
quanta,2
nacional,2
tantas,2
funcionários,2
céu,2
aberto,2
pagos,2
afundando,2
esquerdistas,2
assistindo,2
mentiroso,2
tambem,2
esquece,2
história,2
escola,2
imposto,2
demônio,2
mídias,2
tempos,2
totalidade,2
casas,2
mota,2
cada,2
desinforma,2
boa,2
desgraça,2
magnistiskynaglobo,2
aberta,2
grobolixo,2
primeiro,2
parei,2
chega,2
terra,2
cúmplice,2
certa,2
manipulador,2
assisti,2
nesse,2
entendo,2
lixe,2
canalha,2
ditatorial,2
assistem,2
globonews,2
tvglobo,2
fechou,2
magnitskinaglobo,2
eleição,2
uol,2
estadão,2
incontáveis,2
presos,2
imediatamente,2
adianta,2
principalmente,2
canais,2
tarde,2
fecha,2
preso,2
flavio,2
dino,2
ajuda,2
alma,2
omissa,2
importa,2
jornalista,2
pau,2
artistas,2
velha,2
punir,2
maiores,2
futebol,2
dando,2
vendeu,2
venderam,2
vendida,2
desgoverno,2
pensar,2
ovo,2
irá,2
nome,2
jesus,2
diabólica,2
desinformação,2
nomes,2
magnistck,2
diferente,2
tradicionais,2
enganar,2
pensou,2
número,2
supremo,2
tribunal,2
caminho,2
magnitiskynaglobo,2
mantida,2
suja,2
acorda,2
mercenários,2
podres,2
fechado,2
glb,2
magnistkinaglobo,2
voto,2
marcorubio,2
aconteceu,2
derruba,2
marinho,2
absurdo,2
cai,2
algumas,2
magnitskyjápglobo,2
bora,2
burros,2
claro,2
entrar,2
atores,2
desta,2
ignorância,2
chance,2
culpado,2
estados,2
ministros,2
sancionados,2
bela,1
notícia,1
salve,1
péla,1
determinação,1
comentários,1
magnisth,1
msgnitsky,1
entenderem,1
mensagem,1
clara,1
exemplo,1
amigo,1
apesar,1
saiu,1
nota,1
destruir,1
provas,1
somente,1
instituições,1
televisivas,1
denunciou,1
absurdos,1
enfrentando,1
jornalsó,1
magniski,1
quebrar,1
forro,1
abra,1
zóio,1
acordem,1
fugir,1
aplicação,1
geral,1
globobem,1
montar,1
pautas,1
fraudulentas,1
midiático,1
crime,1
organizado,1
tramp,1
donaldjtrumpjr,1
brazilian,1
television,1
called,1
along,1
with,1
current,1
government,1
complicit,1
all,1
fake,1
news,1
lies,1
always,1
harming,1
right,1
wing,1
country,1
consequently,1
his,1
allies,1
suffer,1
under,1
act,1
diariamente,1
convivendo,1
combatendo,1
posso,1
enxergar,1
quanto,1
discurso,1
tolerância,1
amor,1
inclusão,1
esconde,1
imposição,1
censura,1
ódio,1
posiciono,1
clareza,1
diante,1
ameaças,1
cancelamentos,1
perseguições,1
passei,1
inúmeros,1
processos,1
perseguição,1
tentam,1
retirar,1
renda,1
paz,1
aceito,1
manipulem,1
crianças,1
perdi,1
ganhei,1
consciência,1
limpa,1
intacta,1
valores,1
unem,1
brasilvaloriza,1
segue,1
irmão,1
culpa,1
assistam,1
dizendo,1
horror,1
eleições,1
específica,1
específicas,1
gerais,1
questionada,1
feita,1
usurpa,1
competência,1
inconstitucionalidade,1
correção,1
jurídica,1
anulada,1
termos,1
constitucionalidade,1
especialmente,1
relação,1
elegível,1
defesa,1
impetrar,1
pedido,1
anulação,1
seguiu,1
rito,1
parlamento,1
anulado,1
chegou,1
cavakaria,1
not,1
severely,1
sanctioned,1
your,1
work,1
will,1
down,1
drain,1
save,1
brazil,1
please,1
verdademas,1
oposição,1
motivos,1
suficientes,1
medidas,1
judiciais,1
globinho,1
perder,1
apresentar,1
programabarra,1
força,1
republicanos,1
farça,1
barco,1
acompanhar,1
próximos,1
episódios,1
consórcios,1
devemos,1
pressões,1
agente,1
saberia,1
nadapor,1
calar,1
cobrar,1
ficam,1
editor,1
chefe,1
responsável,1
ditaduraagora,1
saindo,1
opressor,1
entendedores,1
entenderão,1
geito,1
cala,1
boca,1
pesado,1
faça,1
logoessa,1
andar,1
assustar,1
período,1
injustiças,1
ajudou,1
magnistyk,1
somostodostrump,1
humano,1
ganhando,1
destes,1
conversando,1
fiquei,1
pasma,1
defendendo,1
xingando,1
perguntei,1
ouvindo,1
povos,1
instruídos,1
tirei,1
sintonia,1
começou,1
monte,1
covas,1
condições,1
assinatura,1
metal,1
tocaram,1
fogo,1
elon,1
musk,1
comprar,1
plantar,1
narrativas,1
mentirosas,1
sustenta,1
extrema,1
vitorvanorthon,1
punido,1
morrei,1
ganha,1
ajudar,1
manipuladas,1
glóbolixo,1
uns,1
traidor,1
desligar,1
burro,1
comcordo,1
jamais,1
falará,1
conjuntura,1
tributos,1
franqueado,1
gestão,1
divina,1
agindo,1
procura,1
informar,1
bolsonario,1
representa,1
cidadoes,1
único,1
revistaoeste,1
youtubeo,1
programa,1
imperdível,1
revista,1
timeline,1
segunda,1
sexta,1
acordo,1
acertou,1
mosca,1
see,1
certezaa,1
análise,1
wla,1
acabando,1
idiotice,1
ambição,1
atrocidades,1
alienando,1
minoria,1
globes,1
vdd,1
gobi,1
corrói,1
vivem,1
custas,1
sodoma,1
gomorra,1
continuam,1
devendo,1
msgnistsky,1
globelixo,1
distorções,1
esconderijo,1
verdades,1
toa,1
desvalorizada,1
meia,1
dúzia,1
jogar,1
bomba,1
estúdios,1
vitória,1
cassarmos,1
inadmissível,1
quexacredits,1
amaiorua,1
infornacoes,1
analfabetos,1
erradomais,1
vence,1
merecendo,1
confirmo,1
relato,1
dei,1
aula,1
municipal,1
intolerância,1
pensamento,1
crítico,1
fossa,1
redesgoto,1
implodir,1
reino,1
dividido,1
destruirá,1
pir,1
corrompidas,1
compradas,1
oséias,1
foraalexandredemoraes,1
forabarroso,1
forafachin,1
foratoffoli,1
foragilmarmendes,1
forafláviodino,1
foralewandowski,1
foracarmenlúcia,1
forapaulogonet,1
forajorgemessias,1
foraandreiaugusto,1
péssimos,1
quadro,1
foralula,1
forajanja,1
foraesquerda,1
luladrao,1
voz,1
proteção,1
inimiga,1
falei,1
inúmeras,1
muda,1
noite,1
qabriu,1
olhos,1
piorar,1
conceção,1
cassada,1
responder,1
criminalmente,1
espalha,1
prática,1
rasteiro,1
caiu,1
escapar,1
hooo,1
glórias,1
vivaa,1
donald,1
madrinha,1
aplicando,1
possilga,1
presidentes,1
davi,1
hugo,1
tiranos,1
impõem,1
apodrecem,1
caem,1
finalmente,1
corretissima,1
abraçar,1
recuo,1
morre,1
atirando,1
éstá,1
compra,1
saúde,1
moradia,1
escolas,1
servia,1
construção,1
estradas,1
sus,1
condição,1
atender,1
preferi,1
rouba,1
corrupção,1
emburrece,1
programação,1
pobre,1
relevância,1
entretenimento,1
informação,1
magnistsk,1
cheia,1
chamar,1
defini,1
denuncia,1
acusado,1
deverá,1
alimentar,1
motivação,1
maguinitsky,1
idiota,1
horrível,1
magnitzkynaglobo,1
ativismo,1
lugar,1
aparecimento,1
escutar,1
assistido,1
vius,1
abertura,1
luta,1
jeronimoalvesarquiteto,1
grana,1
comprado,1
derrubada,1
infeliz,1
podero,1
pegálacai,1
