hashtag,frequencia
#cpmidavazatogajá,35
#magnitskynaglobo,33
#globolixo,14
#magnistikynaglobo,10
#MAGNITSKYNAGLOBO,8
#magnitsknaglobo,4
#Magnitskynaglobo,4
#MagnitskynaGlobo,3
#MagnitskyNaGlobo,3
#GloboLixo,3
#magnistskynaglobo,3
#MAGNITSKY,2
#Magnistkynaglobo,2
#magnistiskynaglobo,2
#magnitskinaglobo,2
#magnitsky,2
#foraglobo,2
#magnistkinaglobo,2
#magnitskyjápglobo,2
#magnitskyglobo,2
#magniskynaglobo,1
#SomosTodosTrump,1
#FORAALEXANDREDEMORAES,1
#FORABARROSO,1
#FORAFACHIN,1
#FORATOFFOLI,1
#FORAGILMARMENDES,1
#FORAFLÁVIODINO,1
#FORALEWANDOWSKI,1
#FORACARMENLÚCIA,1
#FORAPAULOGONET,1
#FORAJORGEMESSIAS,1
#FORAANDREIAUGUSTO,1
#FORALULA,1
#FORAJANJA,1
#FORAESQUERDA,1
#FORAGLOBO,1
#magnitzkynaglobo,1
#magnitsky.na.globo,1
#globolioxo,1
#magnistkynaglobo,1
#globolixo.,1
#bolsonatonaprisão,1
#MAGNITSKYNAGLOBO.,1
#AnistiaJa,1
#ImpeachmentAlexandreDeMoraes,1
#magnitskynanaglbo,1
#magnityskglobo,1
#Magnitskynagloboja,1
#redeglobo,1
#globosta,1
#magnitskynaglobotrump,1
#magnesticknaglobo,1
#MAGNISkYNAGLOBO,1
#magnítsky,1
#foraglobolixo,1
#MAGNITISKYNAGLOBO,1
#magnistkynaglbo,1
#magnistiknaglobo,1
#magnitskyna,1
#maknisti,1
#stfvergonhanacional,1
#ditaduradojudiciário,1
#votoimpressojá,1
#ptcâncerdobrasil,1
#freebolsonaro,1
#globilixo,1
#magnisticknaglovo,1
#MAGNITISKYnaGlobo,1
#MAGNYTISKnaGlobo,1
#MAGNISTSKYNAGLOBO,1
#magnitisknaglobo,1
#MAGNITSKYGLOBO,1
#magnitksnaglobo,1
#magnistykcnaglobo,1
