frase,frequencia
gayergus bolsonarofree,90
bolsonaro free,46
free bolsonaro,39
gayergus vai,18
bolsonarofree bolsonarofree,18
voz prisão,13
gayergus bolsonaro,13
galvaolaizah gayergus,10
fim julgamento,9
gayergus freebolsonaro,9
alexandre moraes,8
free bolsonarofree,8
gayergus free,7
dar voz,7
gayergus fim,7
vai dar,7
bolsonarofree bolsonaro,7
bolsonaro perseguição,6
perseguição suprema,6
gayergus mr6kmk9,6
gayergus tá,6
dar nada,6
thiago1372591 gayergus,6
gayergus vcs,5
vai fazer,5
gayergus agora,5
alguma coisa,5
gayergus deus,5
gayergus alexandre,4
eduardo tagliaferro,4
vão fazer,4
gayergus aí,4
acabou julgamento,4
gayergus vc,4
gayergus país,4
rede social,4
vai lá,4
72 horas,3
gayergus kkkk,3
gayergus ah,3
direitos humanos,3
gayergus kkkkkkk,3
elianebradv gayergus,3
deputados senadores,3
fazer nada,3
gayergus kkkkkkkkkkk,3
violência doméstica,3
gayergus grok,3
gayergus kkkkkkkk,3
ministro stf,3
