data,texto,likes,comentarios,sentimento_geral,tipo
2025-09-02,"@GayerGus Com essas REVELAÇÕES BOMBÁSTICAS, o EDUARDO TAGLIAFERRO simplesmente decidiu criar um canal no YouTube e fazer com que essa transmissão também fosse transmitida, mas ao saber disso, o STF simplesmente decidiu DERRUBAR esse canal, deixando bem claro o nível da TIRANIA JURÍDICA.",39,,negativo,TOP 5
2025-09-02,@GayerGus #FreeBolsonaro https://t.co/a82DQFHa9N,29,,neutro,TOP 5
2025-09-02,@GayerGus Noooofa!! Postando aqui vcs vão conseguir!! Ah vão tomar no cu,9,,negativo,TOP 5
2025-09-02,@GayerGus Paulo Gonet não pode ser reconduzido para PGR . É um prevaricador,9,,negativo,TOP 5
2025-09-02,@GayerGus kkkkkkk Esse é aquele sujeitinho que bate em mulher ? https://t.co/iN9s2gVP12,7,,negativo,TOP 5
2025-09-09,@GayerGus @RogrioBarroso12 O deputado devia estar viajando pelo universo naqueles dias. O relator construiu um voto com a verdade. Foi o que todos assistimos. Aceita que doi menos.,0,,positivo,BOTTOM 5
2025-09-07,@GayerGus Espera 72 horas kkkkkkkk,0,,neutro,BOTTOM 5
2025-09-07,@GayerGus https://t.co/l9hLo8eE7j,0,,neutro,BOTTOM 5
2025-09-05,@GayerGus KKKK VOCES BOLSOANRISTAS SÃO HILARIOS https://t.co/Ul1lGY97Gl,0,,negativo,BOTTOM 5
2025-09-04,@GayerGus ANISTIA JÁ CPMI DA VAZA TOGA,0,,negativo,BOTTOM 5
