conta,frequencia
@nikolas_dm,824
@grok,22
@EleitorAlarmado,21
@notherefascist,17
@Boscardin,17
@angelma_santos,15
@GuedinhoeFans,11
@Motlav1,11
@VanCMoreira,10
@2805Fabricio,10
@godoy_saulo,9
@condado431,9
@EloiFG74,8
@sandrabrasilia,7
@rodriguescaio85,6
@HugoApple72961,6
@helemazevedo,6
@zfabrogmailcom,5
@EncravoT,4
@jackedx,4
@bigdonniz,4
@gabtrak1985,4
@CodigoFalado,4
@br_ndn2,4
@Revival0403,3
@Gabriel189761,3
@adolfo_coelho,3
@rita_limac63,3
@henriolliveira_,3
@vinircildo,3
@Samuelsworld,3
@allan7xd,3
@Futebolnorio,3
@rafalogar,2
@carlosantamaral,2
@NestorCavalcan4,2
@mooncashh,2
@JoaquinTeixeira,2
@NandoPetista,2
@iurizinholula,2
@CriosAdriao,2
@frikitonauchis,2
@OliverDracarys,2
@PriveCoroas,2
@futuroemdisputa,2
@Ivanaschmidt101,2
@policiafederal,2
@govbr,2
@antonioluckman,2
@3pizzaspizzas,2
@LeoGaribald,2
@ogatoarrepiado,2
@MPF_PGR,2
@Patrici10058843,2
@andrefernm,2
@ivanvieira_5,2
@CapitalismIlovU,2
@opsKayo,2
@torres_dapaz,2
@hack340,2
@andreynasc61750,2
@Henrique_051,2
@AttuchRoberto,2
@InglisonSouza,2
@STF_oficial,2
@Csarmen13732861,1
@genelopes1,1
@Neirosi1939,1
@Grande_Branco,1
@ANALUZIABR,1
@AdrianoSSantan3,1
@Genkeomaru,1
@RenanSantosMBL,1
@andrevaladao,1
@ALEXANDRGRAMBEL,1
@DaPedriin,1
@CrisAmyPotter,1
@Wellington_Tds,1
@OdnanGamebr,1
@Johnnypereira77,1
@rosanepereira09,1
@CantiiSandra,1
@LicaDoNic,1
@BronkaMatt1970,1
@jumaedorafa,1
@silviogrimaldo,1
@EMaximmus85008,1
@Candim2022,1
@Antnio659293,1
@ReceitaFederal,1
@campos_lua80261,1
@Sadanprofessor,1
@rosaalves147070,1
@Jusbrasil,1
@camaradeputados,1
@Grok,1
@IvairJu93014215,1
@deputadozucco,1
@alyssonbnutri,1
@eduardovaz1981,1
@RubensMoreno99,1
@DanielleCorra15,1
@CharleJr,1
@jorgemessiasagu,1
@maxxpinhead,1
@bun...,1
@ricardo86572430,1
@ocostadriano,1
@LulaOficial,1
@Lordecapitao,1
@Ter97964275,1
@victorcrbt,1
@ProfetaChapado,1
@Marcelo08576457,1
@SalomaoAneto,1
@BlogdoKadinho,1
@rfvivan,1
@LiliaMedinaMed1,1
@ChristopoulosBR,1
@SarinhahDiniz23,1
@pt,1
@mrmusico10,1
@SamuelPaiv13985,1
@roserib32440250,1
@ze_cazarin_ca,1
@Michell33705149,1
@blacosil,1
@HaritaBR,1
@LuisPainho,1
@PiscesFueda,1
@FlavioBolsonaro,1
@CarolDeToni,1
@DepSostenes,1
@RomeuZema,1
@eogabras,1
@Lina_CryptoA,1
@mathiasrj,1
@filhadasondas_,1
@404topo,1
@UAFinance2,1
@maxx_peter,1
@Xann1963,1
@Veve40429076,1
@DavidsonLiima,1
@esj1970,1
@.,1
@jairbolsonaro,1
@nahumdonorte,1
@19tatte83,1
@Rodrigu08706700,1
@guikilter,1
@FlavioDino,1
@a_frase_de_hoje,1
@r,1
@lh0,1
@rafacouto1988,1
@EuAmoOBrasilBR,1
@santosmoreira20,1
@SPjose96059,1
