data,texto,likes,comentarios,sentimento_geral,tipo
2025-09-20,Sinto uma vergonha ter amigos que seguem esse cara sinceramente 🤮,2146,110,negativo,TOP 5
2025-09-24,Saiu do exército? Kkkkk foi expulso né,967,20,neutro,TOP 5
2025-09-19,Quanto teatro! Trabalhar pelo povo que é bom nada!,923,6,negativo,TOP 5
2025-09-24,“Sem nunca se envolver em escândalos de corrupção” Ele tá de tornozeleira pq é inocente? 😂😂😂,768,50,neutro,TOP 5
2025-10-04,"Bolsonaro, tentou dar um golpe de estado e foi condenado. FIM",257,8,negativo,TOP 5
2025-09-20,Quando narrativas não representam as ações.,0,0,neutro,BOTTOM 5
2025-11-13,Que Nicolas se foda muito,0,2,negativo,BOTTOM 5
2025-09-21,Deus tenha misericórdia da nossa nação 🇧🇷e sustente a família Bolsonaro 🙏💚,0,1,positivo,BOTTOM 5
2025-11-10,que apodreça na cadeia,0,1,negativo,BOTTOM 5
2025-11-09,@nikolasferreiradm #AnistiaJa#,0,0,neutro,BOTTOM 5
