hashtag,frequencia
#SemAnistia,18
#taxaçãodegrandesfortunas,11
#semanistia,11
#semdosimetria,10
#taxaçãodossuperricosjá,10
#isençãodeimpostoderendajá,10
#fimdaescala6x1já,10
#cassaçãodobananinha,10
#cassacaodoeduardobolsonaroja,10
#cassacaodacarlaxambelli,10
#cassaçãodacarlazambelijá,10
#lula2026,10
#NikolaseoPCCtudoaVer,4
#PL04_2024,2
#Nikolasinimigodopovo,2
#AnistiaJa,1
#pecdabandidagem,1
#Bolsonarolivre,1
#vaiprodebatecomjones,1
#StfLixo,1
#vivalulaviva13,1
#AprovaPDL844,1
#FGTSEDoTrabalhador,1
#bolsonaro,1
#frouxonaro,1
#PL04_2024.,1
#AprovaPL04_2024,1
#TaxaAsBets,1
#SeguridadeSocial,1
#JustiçaFiscal,1
#LindbergFarias,1
#OBrasilApoia,1
#piorcongressodahistoriadopaís,1
#congressoinimigodobrasil,1
#taxaçãodeigrejas,1
#taxaçãodasbets,1
#taxaçãodossuperricos,1
#SEMANISTIAPARAGOLPISTAS,1
#minasgeraisoficial,1
#Minas,1
#MinasGerais,1
#minasgeraismg,1
#minasgeraisbrasil,1
#SeuChupeta,1
#foranikolasferreira,1
#bolsonaroomelhorpresidentedobrasil,1
#semanistiasemperdãobolsonaronaprisão,1
