"usuario","data","hora","texto","midia","num_caracteres","num_palavras","num_emojis","num_mencoes","likes","repostagens","comentarios","prob_positivo","prob_neutro","prob_negativo","sentimento_geral"
"MECS52","2026-01-27","11:28:05","@nikolas_dm Bolsinaro só colhe o que semeou: ódio, traição e desrespeito. Que apodreça na cadeia!",0,97,15,0,1,0,0,"",0.003958085086196661,0.009649021551012993,0.9863929152488708,"negativo"
"MECS52","2026-01-27","11:27:01","@Jakelyneloiola_ @nikolas_dm 🤣🤣🤣🤣🤣🤡🤡🤡🤡🤡",0,39,3,10,2,0,0,"",0.6826639175415039,0.23199371993541718,0.0853423923254013,"positivo"
"MECS52","2026-01-27","11:25:55","@nikolas_dm Dá nojo ver tanta idolatria!",0,40,6,0,1,0,0,"",0.006045686546713114,0.00729872053489089,0.986655592918396,"negativo"
"PancieroFa33","2026-01-10","17:41:01","@nikolas_dm @DalmirPereiraL3 https://t.co/tGBVhGwzYx",1,52,3,0,2,1,1,"",0.06278277188539505,0.9104264974594116,0.026790712028741837,"neutro"
"heitorpguerra","2025-12-21","13:20:23","@nikolas_dm @renanpla Lixo",0,26,3,0,2,0,0,"",0.0042137508280575275,0.004759561270475388,0.9910265803337097,"negativo"
"BlackfirePirate","2025-12-01","15:14:00","@nikolas_dm Quem ainda acredita nessa merda toda? Só os jumentos! Os oportunistas também estão por aí...",0,104,16,0,1,0,0,"",0.004027660470455885,0.013503116555511951,0.9824692010879517,"negativo"
"BlackfirePirate","2025-12-01","15:12:39","@nikolas_dm Que piada!!! Kkkkkk hahahahah",0,41,5,0,1,0,0,"",0.02718331664800644,0.04139633849263191,0.9314203262329102,"negativo"
"eltonpalestra","2025-12-01","02:02:48","@nikolas_dm @ArnaldoTadeu3 Vai lá virar marmita de preso Nikole",0,63,9,0,2,0,0,"",0.007025452796369791,0.06539438664913177,0.9275801181793213,"negativo"
"heronildus","2025-11-29","16:26:19","@antoniomarcoss @FreitasNobr @nikolas_dm E realmente Burrice nao coaduna com a Profissao, ta ai voce a prova viva disso. Adendo, para alem das baboseiras que vc acredita, existem orgaos de controle.",0,198,30,0,3,0,0,"",0.04949883744120598,0.13868385553359985,0.8118172883987427,"negativo"
"heronildus","2025-11-29","16:24:51","@antoniomarcoss @FreitasNobr @nikolas_dm Se vc pelas suas crenças em narrativas sobre Parlamentares, acha que o STF deve engavetar e desengavetar inqueritos contra deputados como Moeda de chantagem para pressiona-los, sugiro que va estudar a constituição para nao passar essa vergonha, que voce esta passando agora.",0,315,45,0,3,1,0,"",0.027436915785074234,0.08962861448526382,0.8829345107078552,"negativo"
"antoniomarcoss","2025-11-29","13:45:19","@heronildus @FreitasNobr @nikolas_dm Coitados dos parlamentares, né. Tem um foragido em Miami, mas abastecendo o carro com o nosso dinheiro 3 vezes no mesmo dia na cidade do Rio de Janeiro. A burrice não se coaduna com a profissão.",0,231,39,0,3,1,0,"",0.007347379345446825,0.018839014694094658,0.973813533782959,"negativo"
"heronildus","2025-11-29","12:04:04","@iurizinholula @antoniomarcoss @nikolas_dm Quando aliado ou proprio Petista é pego Vc tambem se manifesta? Os Filhos do Lula sao envolvidos em corrupção a Nora tambem e ai? Vai postar aqui ou passar pano?",0,204,33,0,3,0,0,"",0.016262948513031006,0.230255126953125,0.753481924533844,"negativo"
"heronildus","2025-11-29","12:02:05","@antoniomarcoss @FreitasNobr @nikolas_dm Nao, a PEC é pra impedir que o STF use inqueritos para chantagear parlamentares, como se fosse algo normal, isso sim que é ""Bandidagem"" e não querer que o STF cumpra a Sua Real função que é apenas interpretar a constituição. Nao coloque a Ideologia acima da Profissao.",0,309,51,0,3,1,0,"",0.030124489217996597,0.08208652585744858,0.8877890110015869,"negativo"
"Jose44316376","2025-11-26","03:44:22","@nikolas_dm ahahahah ,O nikolas mesmo colocou o bolsonaro na cadeia com uma live que ele Nikolas sabia que nao podia. .. FEZ DE PROPÓSITO e vcs caem nesse papinho de CARTA ABERTA.. e fora Mula que o Bozo já foi ahaha.",0,217,41,0,1,0,0,"",0.005172130186110735,0.017856888473033905,0.9769709706306458,"negativo"
"BFh2023","2025-11-24","03:01:27","@nikolas_dm @LukaMaluquinha 💚🇧🇷💛Bravíssimo, Dep. Nikolas Ferreira ‼️Você foi minha voz; você me representa ‼️👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼.",0,122,14,11,2,0,0,"",0.9536381959915161,0.03882959857583046,0.007532159797847271,"positivo"
"carmen_decio","2025-11-22","18:06:06","@nikolas_dm @CentralDireitaX #BOLSONAROLIVRE",0,44,3,0,2,0,0,"",0.06636814028024673,0.5451018810272217,0.3885299265384674,"neutro"
"grok","2025-11-19","02:22:33","@JoseAntonioRoc @Ivanaschmidt101 @nikolas_dm @BiaCorbucci2 Não há evidências de que os 51 imóveis da família Bolsonaro tenham sido adquiridos ou reformados com propina de empreiteiras superfaturando contratos da Petrobras. Investigções sobre compras em dinheiro vivo apontam para possíveis irregularidades como lavagem, mas sem condenações",0,339,43,0,4,0,0,"",0.05227473005652428,0.7857875227928162,0.16193777322769165,"neutro"
"grok","2025-11-19","02:20:42","@JoseAntonioRoc @Ivanaschmidt101 @nikolas_dm @BiaCorbucci2 Não, Bolsonaro não pode ser punido ou preso só porque parentes comprem imóveis com dinheiro de origem lícita. Não existe crime nisso, pois aquisições legais por terceiros não geram responsabilidade penal automática a familiares, a menos que haja prova concreta de envolvimento",0,335,46,0,4,0,0,"",0.07890956848859787,0.5927532315254211,0.32833725214004517,"neutro"
