frase,frequencia
nikolas_dm vai,25
presidente bolsonaro,17
nikolas_dm parabéns,17
nikolas_dm deus,15
deus abençoe,15
antoniomarcoss nikolas_dm,12
nikolas_dm anistia,12
vai trabalhar,12
nikolas_dm vc,11
nikolas_dm presidente,11
nikolas_dm bolsonaro,11
joana_correa_ nikolas_dm,11
carta aberta,10
anistia ampla,10
ampla geral,10
geral irrestrita,10
fundo preto,9
jony_david nikolas_dm,9
nikolas_dm vídeo,9
nikolas_dm cara,9
povo brasileiro,9
volta bolsonaro,9
melhor presidente,8
nikolas_dm nikolas,8
vitorr213_ nikolas_dm,8
pec blindagem,7
vai fazer,7
ex presidente,7
vai tomar,7
parabéns nikolas,7
nikolas_dm nao,6
nikolas_dm carta,6
jooclaudio1252 nikolas_dm,6
crtmblisticos nikolas_dm,6
nikolas_dm linda,6
nikolas_dm chupetinha,6
dia todo,6
nikolas_dm ta,6
wyllytto antoniomarcoss,6
blcana144865 nikolas_dm,6
nikolas_dm biacorbucci2,5
melanciagoxtosa nikolas_dm,5
nikolas_dm melhor,5
presidente brasil,5
fazer projeto,5
todo twitter,5
nikolas_dm tira,5
nikolas_dm obrigado,5
nikolas_dm ai,5
tomar cu,5
