frase,frequencia
anistia ampla geral,10
ampla geral irrestrita,10
nikolas_dm deus abençoe,9
nikolas_dm vai trabalhar,8
nikolas_dm carta aberta,6
wyllytto antoniomarcoss nikolas_dm,6
nikolas_dm melhor presidente,5
dia todo twitter,5
vai tomar cu,5
nikolas_dm anistia ampla,5
nikolas_dm linda homenagem,5
joseantonioroc ivanaschmidt101 nikolas_dm,4
ivanaschmidt101 nikolas_dm biacorbucci2,4
melhor presidente brasil,4
deus abençoe presidente,4
vídeo fundo preto,4
nikolas_dm nícolas vai,4
nícolas vai fazer,4
vai fazer projeto,4
fazer projeto ação,4
projeto ação política,4
ação política relevante,4
política relevante impactar,4
relevante impactar positivamente,4
impactar positivamente vida,4
positivamente vida ajudar,4
vida ajudar pessoas,4
ajudar pessoas elegeram,4
pessoas elegeram invés,4
elegeram invés ficar,4
invés ficar dia,4
ficar dia todo,4
todo twitter chupando,4
twitter chupando bolas,4
nikolas_dm vai tomar,4
sougeraldo blcana144865 nikolas_dm,4
nikolas_dm anistia chega,4
anistia chega injustiça,4
nikolas_dm parabéns nikolas,4
antoniomarcoss freitasnobr nikolas_dm,3
12234corujinha antoniomarcoss nikolas_dm,3
nikolas_dm pq vc,3
chupando bolas sugar,3
bolas sugar daddy,3
população mg bh,3
mg bh ia,3
bh ia agradecer,3
vai trabalhar vagabundo,3
vai fazer algo,3
cleoalvo joana_correa_ nikolas_dm,3
