"usuario","data","hora","texto","midia","num_caracteres","num_palavras","num_emojis","num_mencoes","likes","repostagens","comentarios","prob_positivo","prob_neutro","prob_negativo","sentimento_geral"
"ficadicamaraba","2026-01-26","00:23:09","💚💚💚💚",0,4,1,4,0,3,"",0,0.7718343734741211,0.20266330242156982,0.02550230547785759,"positivo"
"drsergiowsegundo","2026-01-25","21:27:40","🎯🎯🎯",0,3,1,3,0,2,"",0,0.4525991976261139,0.49038147926330566,0.05701930448412895,"neutro"
"mariahcardoso_designercroche","2026-01-25","20:13:01","Meu Deus 😭emocionante isso 🇧🇷o Brasil ainda tem jeito simmm 🙌",0,61,11,3,0,77,"",0,0.9482893347740173,0.02718381956219673,0.02452688477933407,"positivo"
"elainneourivesoficial","2026-01-25","20:06:35","👏🙏🙏🙏🙏🙏incrível",0,14,1,6,0,58,"",0,0.9891491532325745,0.008519544266164303,0.0023312626872211695,"positivo"
"marcos_aguiah_","2026-01-27","12:57:24","👏👏👏👏👏👏",0,6,1,6,0,1,"",0,0.7605944275856018,0.20578402280807495,0.03362152725458145,"positivo"
"dra.raianeserpa","2026-01-25","23:06:34","Hei @nikolasferreiradm esperando ansiosamente pelos seus 35 anos. Completa logo isso para ser o nosso presidente 💚🇧🇷",0,116,17,2,1,10,"",0,0.839770495891571,0.14762577414512634,0.012603694573044777,"positivo"
"tiagoramoss","2026-01-25","20:37:30","👏👏👏👏",0,4,1,4,0,19,"",2,0.7605944275856018,0.20578402280807495,0.03362152725458145,"positivo"
"heltin.veloso","2026-01-26","09:20:51","ACORDA BRASIL 🇧🇷",0,16,3,1,0,3,"",0,0.5347365736961365,0.439039021730423,0.026224372908473015,"positivo"
"scarmodas","2026-01-25","18:24:37","💚💚💚💚💚🇧🇷🇧🇷🇧🇷🙏",0,12,1,9,0,3,"",0,0.7447797060012817,0.23331663012504578,0.021903635933995247,"positivo"
"bcbalotin","2026-01-25","18:52:26","🇧🇷💚🙌",0,4,1,3,0,1,"",0,0.6049345135688782,0.37394070625305176,0.02112480252981186,"positivo"
"geisecrist2018","2026-01-25","19:07:49","Realmente ele está mostrando o verdadeiro significado da fase: .. "" Verás que um filho teu não foge a luta""...🇧🇷🇧🇷🇧🇷",0,116,20,3,0,1014,"",3,0.896242618560791,0.08721775561571121,0.016539625823497772,"positivo"
"nacttdpk","2026-01-25","21:10:18","🙌",0,1,1,1,0,2,"",0,0.0,1.0,0.0,"neutro"
"andressa_vivi19","2026-01-26","20:30:44","Acorda Brasil 🙌🇧🇷",0,17,3,2,0,2,"",0,0.4442521333694458,0.5305497050285339,0.025198163464665413,"neutro"
"estefanesampaio","2026-01-26","18:07:18","Quando cheguei tinham umas 15-20 pessoas. Quando chegamos em Brasília éramos milhares! Jesus é o Senhor dessa nação, e por Ele vamos resgatar o Brasil 🇧🇷💚",0,154,26,2,0,48,"",2,0.5168946385383606,0.4628867208957672,0.020218636840581894,"positivo"
"fabiolacasanovaa","2026-01-25","21:51:18","🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷",0,14,1,7,0,2,"",0,0.6046210527420044,0.3619372844696045,0.03344167768955231,"positivo"
"souopop","2026-01-26","03:48:21","nunca vi tanto desocupado num video so kkkk",0,43,8,0,0,674,"",28,0.03159181773662567,0.08170435577630997,0.8867037892341614,"negativo"
"ficadicamaraba","2026-01-26","00:23:09","💚💚💚💚",0,4,1,4,0,3,"",0,0.7718343734741211,0.20266330242156982,0.02550230547785759,"positivo"
"drsergiowsegundo","2026-01-25","21:27:40","🎯🎯🎯",0,3,1,3,0,2,"",0,0.4525991976261139,0.49038147926330566,0.05701930448412895,"neutro"
"mariahcardoso_designercroche","2026-01-25","20:13:01","Meu Deus 😭emocionante isso 🇧🇷o Brasil ainda tem jeito simmm 🙌",0,61,11,3,0,77,"",0,0.9482893347740173,0.02718381956219673,0.02452688477933407,"positivo"
"marcos_aguiah_","2026-01-27","12:57:24","👏👏👏👏👏👏",0,6,1,6,0,1,"",0,0.7605944275856018,0.20578402280807495,0.03362152725458145,"positivo"
"elainneourivesoficial","2026-01-25","20:06:35","👏🙏🙏🙏🙏🙏incrível",0,14,1,6,0,58,"",0,0.9891491532325745,0.008519544266164303,0.0023312626872211695,"positivo"
"geisecrist2018","2026-01-25","19:07:49","Realmente ele está mostrando o verdadeiro significado da fase: .. "" Verás que um filho teu não foge a luta""...🇧🇷🇧🇷🇧🇷",0,116,20,3,0,1018,"",3,0.896242618560791,0.08721775561571121,0.016539625823497772,"positivo"
"ferpires.nutri","2026-01-25","22:31:52","💛💚👏🏻👏🏻👏🏻",0,8,1,5,0,1,"",0,0.7941297888755798,0.18051695823669434,0.02535330317914486,"positivo"
"dra.raianeserpa","2026-01-25","23:06:34","Hei @nikolasferreiradm esperando ansiosamente pelos seus 35 anos. Completa logo isso para ser o nosso presidente 💚🇧🇷",0,116,17,2,1,10,"",0,0.839770495891571,0.14762577414512634,0.012603694573044777,"positivo"
