frase,frequencia
brasil ainda jeito,3
deus emocionante brasil,2
emocionante brasil ainda,2
ainda jeito simmm,2
nikolasferreiradm esperando ansiosamente,2
esperando ansiosamente 35,2
ansiosamente 35 anos,2
35 anos completa,2
anos completa logo,2
completa logo presidente,2
realmente mostrando verdadeiro,2
mostrando verdadeiro significado,2
verdadeiro significado fase,2
significado fase verás,2
fase verás filho,2
verás filho foge,2
filho foge luta,2
cheguei umas 1520,2
umas 1520 pessoas,2
1520 pessoas chegamos,2
pessoas chegamos brasília,2
chegamos brasília milhares,2
brasília milhares jesus,2
milhares jesus senhor,2
jesus senhor dessa,2
senhor dessa nação,2
dessa nação vamos,2
nação vamos resgatar,2
vamos resgatar brasil,2
brasil melhor sobre,2
melhor sobre direita,2
sobre direita esquerda,2
bandeira jamais vermelha,2
deus abençoe nação,2
brasil senhor jesus,2
deus continue abençoando,2
