data,texto,likes,comentarios,sentimento_geral,tipo
2026-01-25,@nikolas_dm Irmã Ilda! Uma guerreira em nome da liberdade! 🇧🇷🙏💪🥰 https://t.co/2FCYk17J20,132,,positivo,TOP 5
2026-01-24,"@nikolas_dm E o Banco Master, Nikolas? E a Lagoinha? https://t.co/wxloXar41f",116,,neutro,TOP 5
2026-01-25,"@nikolas_dm Meu amigo, da um parabéns pra quem fez esse vídeo, tá insano demais. Se cuida.",72,,positivo,TOP 5
2026-01-25,@nikolas_dm Que orgulho que eu sinto do nosso menino Nikolas 🙏👏🇧🇷🥹 https://t.co/E2u47He6E4,64,,positivo,TOP 5
2026-01-24,@nikolas_dm Nikolas Gump. https://t.co/jul2RZlzfS,54,,neutro,TOP 5
2026-01-28,"@nikolas_dm @AnaCris53727087 @nikolas_dm NÃO HÁ MAIS OPÇÃO, OU AVANÇA OU SERÁS ESMAGADO, CHEGAR DE TANTAS INJUSTIÇAS, TEM MUITAS FAMÍLIAS DESTRUÍDAS, INOCENTES PRESOS, BANDIDOS NO PODER, CORRUPÇÃO TOMANDO CONTA.JÁ PASSOU DA HORA DE ARRANCAR O MAL DO CÉREBRO DO BRASIL. ACORDA BRASIL,POR DEUS! FÉ,LUTA,CORAGEM",0,,negativo,BOTTOM 5
2026-01-28,"@KelliCr12741724 @Morpheus1966_ @GellyAguiar @nikolas_dm Baseado em fontes como BBC, G1, Gazeta do Povo e Agência Brasil, pessoas próximas a Lula citadas no escândalo de fraudes no INSS (descontos indevidos em benefícios, ~R$6 bi): - Fábio Luís (Lulinha, filho): Alegações de mesada de R$300k e elo com lobista Antunes via viagens e",0,,neutro,BOTTOM 5
2026-01-28,@Morpheus1966_ @grok @GellyAguiar @nikolas_dm @grok responde a @Morpheus1966_ quem são as pessoas próximas ao Lula e que estão envolvidas no escândalo do INSS,0,,neutro,BOTTOM 5
2026-01-28,"@Morpheus1966_ @KelliCr12741724 @GellyAguiar @nikolas_dm Com base em fontes como CNN, G1 e BBC, Lula não está diretamente implicado nas fraudes do INSS ou Master. No INSS, foi vítima de tentativa de fraude em sua aposentadoria, e seu filho Lulinha é citado por laços comerciais em investigações. No Master, houve reunião com o dono do",0,,neutro,BOTTOM 5
2026-01-28,@grok @KelliCr12741724 @GellyAguiar @nikolas_dm E o Lula apareceu nisso?,0,,neutro,BOTTOM 5
