palavra,frequencia
nikolas_dm,828
brasil,94
deus,76
nikolas,61
bolsonaro,51
acorda,45
grok,43
povo,38
música,35
parabéns,33
comandolli,30
presidente,29
gigante,27
abençoe,26
gellyaguiar,25
caminhada,24
acordabrasil,23
milhões,21
robalo,20
pessoas,19
esquerda,18
vagabundo,17
lula,16
direita,16
master,14
trabalhar,14
liberdade,14
morpheus_,13
família,13
libertem,13
força,12
ferreira,11
seligafiel,11
políticos,10
país,10
reais,10
demais,10
obrigado,10
jesus,10
nome,10
futuro,10
líder,10
justiça,10
kellicr,9
filho,9
vou,9
saaotomeee,9
lado,9
obrigada,9
brasileiro,9
favor,9
inss,8
lagoinha,8
merda,8
estado,8
cada,8
quanto,8
ninguém,8
raio,8
nicolas,8
juntos,8
esperança,8
contra,8
brasileiros,8
algo,7
pior,7
west,7
conta,7
político,7
kanye,7
preso,7
foda,7
bom,7
parte,7
contigo,7
desconh,7
vida,7
barlatti,7
certo,7
banco,7
precisamos,7
felipe,7
nesse,7
proteja,7
bem,7
presos,6
puta,6
tira,6
caso,6
runaway,6
maioria,6
pai,6
colocar,6
homem,6
amigo,6
claro,6
musica,6
usando,6
tomar,6
melhor,6
continue,6
união,6
continua,6
parece,6
bigmike_real,6
gado,6
fake,6
gump,6
alguém,6
lindo,6
junior___,6
mal,5
escândalo,5
igreja,5
certeza,5
falando,5
aura,5
filhos,5
auxílio,5
familia,5
bernard,5
mundo,5
ganha,5
real,5
mostra,5
dinheiro,5
porra,5
mudar,5
usa,5
voto,5
boa,5
muda,5
morte,5
coragem,5
movimento,5
verdade,5
sabem,5
toma,5
apropriajulia,5
novo,5
cima,5
livre,5
anistia,5
coração,5
campanha,5
deputado,5
vendo,5
mito,5
simples,5
nação,5
muita,5
votou,5
bando,5
guerreiro,5
kkkkkkkkkk,5
orgulho,5
chega,5
safado,5
inocentes,4
corrupção,4
concordo,4
defende,4
bandido,4
contexto,4
tentar,4
entender,4
maior,4
mil,4
pqp,4
faltou,4
ajuda,4
trabalha,4
importa,4
pauta,4
único,4
governo,4
dwirti,4
imbecis,4
exemplo,4
maldito,4
amém,4
acordou,4
marcha,4
próximo,4
atrás,4
idiotas,4
política,4
maravilhoso,4
diaphanumbrazil,4
pátria,4
menino,4
existe,4
cabeça,4
medo,4
jair,4
falta,4
cuidado,4
rua,4
dias,4
tic,4
segue,4
politico,4
dioni_ps,4
oiluiz,4
acima,4
kantuss,4
manifestação,4
josephcamle,4
dommiky,4
frente,4
momento,4
fezes,4
corrupto,4
vagabundos,4
fundo,4
inglês,4
flávio,4
the,4
trabalho,4
jamais,4
direito,4
libertembolsonaro,4
arrombado,4
alone,4
forrest,4
tio,4
perdeu,4
injustiças,3
fontes,3
próximas,3
fraudes,3
posso,3
ajudar,3
pastores,3
exatamente,3
matar,3
daí,3
representa,3
quais,3
jogar,3
conversa,3
quis,3
der,3
caminho,3
mim,3
livro,3
imposto,3
bolsa,3
dura,3
mesma,3
entrar,3
mulher,3
gás,3
ambos,3
inclusive,3
colocou,3
pobre,3
preço,3
quebra,3
fico,3
lugar,3
realmente,3
carteira,3
ajude,3
população,3
imbecil,3
lixo,3
olhos,3
fato,3
davi,3
ponto,3
fim,3
tempos,3
mandou,3
maravilha,3
cade,3
forma,3
necessária,3
voltou,3
despertar,3
passo,3
começar,3
nenhuma,3
golpe,3
chuva,3
gratidão,3
lourdes_ma,3
irmão,3
oração,3
chamou,3
abençoando,3
andar,3
espero,3
emocionante,3
potus,3
acabou,3
senhor,3
infelizmente,3
merece,3
pauloar,3
estarão,3
acreditar,3
cidade,3
nenhum,3
alexandre_taka,3
autismo,3
manter,3
mesmos,3
dilma,3
andrefernm,3
pagar,3
brasília,3
roubando,3
tirar,3
seguem,3
patriotas,3
inteiro,3
forest,3
andando,3
williammarley,3
janehelk,3
calma,3
caras,3
irão,3
escala,3
paulxbrow,3
detremura,3
hotel,3
pensar,3
gigantes,3
this,3
walk,3
and,3
rapaz,3
inveja,3
desde,3
seguidores,3
envolvido,3
histórico,3
primeiro,3
xorfreedom,3
forte,3
moraes,3
milhão,3
zil,3
janeiro,3
marketing,3
estaremos,3
povoada,3
sued,3
nunes,3
eleições,3
roubar,3
lider,3
john_sotnas,3
faça,3
legal,3
casa,3
boulos,3
luciano,3
frequenta,3
caroldetoni,3
emendas,3
kim,3
eleição,3
junto,3
pec,3
blindagem,3
tentou,3
tac,3
pedir,3
opção,2
serás,2
bandidos,2
passou,2
bbc,2
benefícios,2
lulinha,2
via,2
base,2
fraude,2
citado,2
laços,2
dono,2
apareceu,2
sóstenes,2
cavalcante,2
cpmi,2
andré,2
valadão,2
associado,2
envolvidos,2
palhaço,2
escândalos,2
venho,2
ônus,2
prova,2
daquilo,2
beneficio,2
limitada,2
caralho,2
renda,2
havaiana,2
minas,2
gerais,2
mãe,2
irmã,2
geralmente,2
contar,2
falei,2
cumulativamente,2
valores,2
valor,2
dessas,2
pago,2
ajudam,2
fdp,2
carro,2
produtos,2
custos,2
escolha,2
lógica,2
besta,2
caralhada,2
conseguir,2
tendo,2
paga,2
cagando,2
chorar,2
mando,2
cego,2
muitos,2
mensagem,2
errou,2
corte,2
difícil,2
abluluble,2
take,2
caindo,2
morrer,2
hipocrisia,2
cristãos,2
iria,2
apoiar,2
mandar,2
kenye,2
desgraça,2
neles,2
acordaram,2
deram,2
vive,2
edit,2
bot,2
passa,2
caminhar,2
mewingdasilva,2
som,2
viado,2
apaga,2
vinijeovano,2
desculpe,2
hino,2
versão,2
paulista,2
acabar,2
efeito,2
chamem,2
manda,2
desempregado,2
público,2
gasta,2
_john___x_,2
amiga,2
fazem,2
várias,2
nesta,2
entretanto,2
aparece,2
ovelha,2
rebanho,2
otario,2
criada,2
crianças,2
inimigos,2
impostos,2
injustiça,2
neste,2
mentiras,2
roubo,2
vender,2
eleitores,2
levou,2
canalha,2
arturomcfields,2
goat,2
novamente,2
doentes,2
unidos,2
prazer,2
mete,2
honra,2
guie,2
apoio,2
auto,2
sabemos,2
flavio,2
saco,2
cheio,2
secrubio,2
conservadores,2
coincidência,2
sofrimento,2
capitão,2
geral,2
interes,2
kkkkkkkkkkkkk,2
kkkkkkkkkkkk,2
acordar,2
futebol,2
carnaval,2
dormir,2
picareta,2
luta,2
lei,2
epochtimes,2
jairbolsonaro,2
adianta,2
sinais,2
piada,2
milhares,2
vídeos,2
irresponsável,2
centenas,2
digo,2
guilhermegborge,2
gastos,2
lute,2
vejo,2
esquerdista,2
grandemente,2
corruptos,2
coisas,2
papai,2
céu,2
patriota,2
grau,2
ninguem,2
somente,2
virar,2
nikolasferreira,2
please,2
estará,2
consegue,2
maluco,2
causa,2
ato,2
mostrou,2
dormindo,2
sistema,2
impunidade,2
passando,2
através,2
iniciativa,2
representam,2
única,2
bonito,2
burro,2
ouve,2
papuda,2
joaoflorenciomv,2
chora,2
esquerdistas,2
verde,2
resultado,2
beellyssimaa,2
cometer,2
larápio,2
lindberghfarias,2
instrumento,2
devolver,2
incrível,2
flaviobolsonaro,2
fraco,2
tamos,2
projeto,2
nicolete,2
kkkkkkkkkkkkkkkkkkkk,2
história,2
sao,2
elonmusk,2
check,2
out,2
freedom,2
look,2
intenção,2
inteligência,2
humildade,2
apoia,2
final,2
cosplay,2
walking,2
dead,2
mudou,2
preto,2
tava,2
ditadura,2
conseguiu,2
regime,2
thousands,2
adireitasabotaobrasil,2
bozo,2
avante,2
petista,2
usar,2
inocente,2
atitude,2
determinação,2
importante,2
seguir,2
honrar,2
lima_denis,2
admiro,2
sinto,2
mostrar,2
conteúdo,2
vergonha,2
análise,2
entendeu,2
abaixo,2
explicar,2
detalhes,2
parem,2
nilo,2
peçanha,2
desocupados,2
movimentos,2
desistir,2
enrustido,2
foco,2
diga,2
prender,2
fudendo,2
precisam,2
crescimento,2
nível,2
meteu,2
tema,2
início,2
cair,2
recebe,2
salário,2
tristeza,2
acontecendo,2
irã,2
ruim,2
desses,2
quiser,2
negar,2
soltar,2
objetivo,2
perseguição,2
unida,2
acontecer,2
ouro,2
eua,2
pio,2
eualepavanelli,2
amigos,2
slk,2
chupetinha,2
versos,2
populated,2
who,2
said,2
