hashtag,frequencia
#acordabrasil,17
#ACORDABRASIL,3
#LibertemBolsonaro,3
#nIkolasFerreira,2
#adireitaSABOTAoBrasil,2
#AnistiaJá,2
#devolvamascriançasdearroiogrande,1
#devolvamascrianças,1
#devolvamascriancas,1
#NIKOLASPRESIDENTE,1
#BrasilacimadetudoDeusacimadeTodos,1
#flaviobolsonaro2026,1
#F22,1
#acordaBrasil,1
#FlavioBolsonaroPresidente2026,1
#toffolicorrupto,1
#impeachmentalexandredemoraesjá,1
#EuApoio,1
#LetBolsonaroFree,1
#BolsonaroNuncaMais,1
#Nikolas,1
#Acordabrasil,1
#LibertemOsPresosPolíticos,1
#LIBERTEMBOLSONARO,1
#idolo,1
#te,1
#SomosTodosBolsonaro,1
#CaminhadacomNikolas,1
#ACORDAABRAAAASIL,1
#LibertemTodosOsPresosPoliticos,1
#UNIÃODADIREITA,1
#7dias,1
#MarchaPelaLiberdade,1
#GrandeNicolas,1
