usuario,texto,sentimento_geral,meu_gabarito
LuizJw,@nikolas_dm O crime organizado adora esses seus vídeos. Porque eles não usam bancos tradicionais como a maioria das pessoas que já são monitoradas e isso nunca trouxe problema pra quem anda certo.,positivo,negativo
jurdaneca,Eita como mente!!!!,neutro,negativo
outlet_dos_oculos_julio,Revista Timeline de segunda a sexta 12hs. Oeste sem filtro as 17:45hs no YouTube,neutro,neutro
dr.alancsil,Só falta prender os daqui.,negativo,negativo
ArenaVascaina_,@ksgmp @GayerGus Nosso herói,positivo,positivo
RafaelLulista,@grok @BolsonaroSP Esse vídeo é de 16 de novembro de 2024 e não de 2026.,neutro,neutro
resanfer,@nikolas_dm @PAULOPARMM Minha eterna Gratidão 🙏🏻🙏🏻🙏🏻👊👊👊👊👊🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷,positivo,positivo
willianlopesdecamargo,Saudade !! Deus proteja o Nosso capitão Bolsonaro !!,positivo,positivo
don_sapo,FAKE MASTERRR,negativo,negativo
eulaliapiresmartins,👏👏👏,positivo,positivo
VirtueWise90965,"@BolsonaroSP Mas Trump é do mal... Ele só quer o petróleo dessas pessoas, óbvio",neutro,neutro
Lucianonice13,@nikolas_dm Canalhice! Vc é um mentiroso Já passou da hora de pagar pelos seus crimes,negativo,negativo
favrettoaugusto,Precisamos dos votos impressos urgente ‼️,neutro,neutro
tsmaab,@MarcoHeckmann @BolsonaroSP @NicolasMaduro E agora? https://t.co/TxjU8YlUF3,neutro,neutro
CarlosHalberto,@nikolas_dm 🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏,positivo,positivo
estefanoricardomutarelli,Traidor da Pátria. Só sabe se promover nas redes sociais mais ninguém cai nessa.,negativo,negativo
adrianobhavanas,@Csforever19941 @BolsonaroSP @NicolasMaduro Chefe de facção criminosa tá brigando com o PCC kkkkk quem e mais bandido https://t.co/BYjmGHQySv,neutro,negativo
arthuzimtotal,@DWirti @nikolas_dm Aí depois é preso e vai a família chorar na mídia kkkkkkkk,negativo,negativo
denny_lima98,Normal burros seguir outros quando ver na estrada 🛣 nem é de se estranha 😅,neutro,negativo
danieltorres.st,Eu recebendo salário dele eu ia até na China,neutro,neutro
EdsonSmithV1,@BolsonaroSP @policiafederal A princesinha não quer trabalhar https://t.co/HHSh7701hH,neutro,negativo
gnosad_,@douglas_ta60286 @nikolas_dm @Sisihele https://t.co/4PskE30Hl9,neutro,neutro
edvaldo_novaes_,Breve vai ser no Brasil,neutro,neutro
alfredoassump,@nikolas_dm https://t.co/zGiG4jVBgK,neutro,neutro
Chaesapata,@BolsonaroSP @policiafederal Vai se foder seu merda,negativo,negativo
mariasi68667958,@GayerGus BOLSONARO FREE,neutro,positivo
claudemir_netocav,🇧🇷🇺🇸🇧🇷🇺🇸🇺🇸,neutro,neutro
lucimargoncalvesgoncallves,Globo lixo..!,negativo,negativo
